,freq,ref_ind,epsilon_r,epsilon_i
223,1387396190000.0,2.1575653563696546,4.655088267006515,0.0
224,1392281390000.0,2.1575975290372793,4.655227097307773,0.0
225,1397166590000.0,2.157629814917101,4.655366418219203,0.0
226,1402051780000.0,2.157662213944034,4.65550622948187,0.0
227,1406936980000.0,2.157694726252076,4.655646531696021,0.0
228,1411822180000.0,2.157727351776383,4.655787324603923,0.0
229,1416707380000.0,2.157760090518321,4.655928608233633,0.0
230,1421592570000.0,2.1577929424118976,4.656070382322595,0.0
231,1426477770000.0,2.157825907592984,4.656212647479486,0.0
232,1431362970000.0,2.1578589859958295,4.65635540344295,0.0
233,1436248170000.0,2.1578921776218194,4.656498650241438,0.0
234,1441133370000.0,2.157925482472345,4.656642387903502,0.0
235,1446018560000.0,2.1579589004802777,4.656786616162049,0.0
236,1450903760000.0,2.1579924317838337,4.656931335636304,0.0
237,1455788960000.0,2.1580260763161276,4.657076546060381,0.0
238,1460674160000.0,2.158059834078568,4.657222247463217,0.0
239,1465559360000.0,2.158093705072573,4.657368439873865,0.0
240,1470444550000.0,2.1581276892298797,4.6575151230207,0.0
241,1475329750000.0,2.1581617866910463,4.65766229753349,0.0
242,1480214950000.0,2.158195997388053,4.657809963141814,0.0
243,1485100150000.0,2.1582303213223355,4.657958119875111,0.0
244,1489985340000.0,2.1582647584247243,4.658106767458134,0.0
245,1494870540000.0,2.158299308837652,4.658255906529086,0.0
246,1499755740000.0,2.1583339724921915,4.658405536813924,0.0
247,1504640940000.0,2.1583687493897985,4.6585556583424825,0.0
248,1509526140000.0,2.1584036395319335,4.6587062711446965,0.0
249,1514411330000.0,2.1584386428482936,4.658857374940784,0.0
250,1519296530000.0,2.1584737594836536,4.659008970379498,0.0
251,1524181730000.0,2.158508989367953,4.659161057182263,0.0
252,1529066930000.0,2.1585443325026716,4.659313635379404,0.0
253,1533952130000.0,2.1585797888892957,4.659466705001356,0.0
254,1538837320000.0,2.158615358456388,4.6596202657638,0.0
255,1543722520000.0,2.1586510413510682,4.659774318326051,0.0
