,freq,lin_pol_deg
154,1050317540000.0,0.004930056216930816
155,1055202740000.0,0.004343190119064941
156,1060087930000.0,0.0037867194291570237
157,1064973130000.0,0.0032819431874269206
158,1069858330000.0,0.002860615232876147
159,1074743530000.0,0.002566138926564164
160,1079628720000.0,0.0024438873089094176
161,1084513920000.0,0.0025153451848857478
162,1089399120000.0,0.0027596132303114806
163,1094284320000.0,0.0031291861033504063
164,1099169520000.0,0.0035772648717889233
165,1104054710000.0,0.004069322048082938
166,1108939910000.0,0.0045823022139991326
167,1113825110000.0,0.005100938038662032
168,1118710310000.0,0.005614793960573042
169,1123595510000.0,0.006116399245583111
170,1128480700000.0,0.006600147500475792
171,1133365900000.0,0.00706165981734664
172,1138251100000.0,0.007497402400875691
173,1143136300000.0,0.007904467040197127
