,freqs,delta
358,83950000000.0,1.5604963887391263
359,83975000000.0,1.5601611024513928
360,84000000000.0,1.559824862711188
361,84025000000.0,1.5594876698248006
362,84050000000.0,1.559149523517755
363,84075000000.0,1.5588104242480805
364,84100000000.0,1.558470372081277
365,84125000000.0,1.5581293670698926
366,84150000000.0,1.5577874095408641
367,84175000000.0,1.5574444994740977
368,84200000000.0,1.55710063706431
369,84225000000.0,1.5567558225658737
370,84250000000.0,1.5564100560245728
371,84275000000.0,1.556063337723303
372,84300000000.0,1.5557156677726993
373,84325000000.0,1.5553670463705207
374,84350000000.0,1.555017473680568
375,84375000000.0,1.5546669499568568
376,84400000000.0,1.554315475311358
377,84425000000.0,1.5539630500085393
378,84450000000.0,1.5536096742457548
379,84475000000.0,1.5532553481929674
380,84500000000.0,1.5529000721477402
381,84525000000.0,1.55254384617245
382,84550000000.0,1.5521866706905918
383,84575000000.0,1.5518285457989118
384,84600000000.0,1.5514694717863597
385,84625000000.0,1.5511094488643986
386,84650000000.0,1.5507484772881883
387,84675000000.0,1.5503865572890205
388,84700000000.0,1.5500236891572952
389,84725000000.0,1.5496598731938098
390,84750000000.0,1.5492951095998022
391,84775000000.0,1.5489293986073058
392,84800000000.0,1.5485627406002855
393,84825000000.0,1.5481951357561716
394,84850000000.0,1.54782658445744
395,84875000000.0,1.5474570869466728
396,84900000000.0,1.547086643550906
397,84925000000.0,1.5467152544650469
398,84950000000.0,1.5463429201267536
399,84975000000.0,1.5459696407961463
400,85000000000.0,1.5455954168789747
401,85025000000.0,1.5452202485743587
402,85050000000.0,1.5448441362153926
403,85075000000.0,1.5444670802866054
404,85100000000.0,1.5440890810147003
405,85125000000.0,1.543710138704565
406,85150000000.0,1.5433302538465306
407,85175000000.0,1.5429494267048913
408,85200000000.0,1.542567657610908
409,85225000000.0,1.5421849470993914
410,85250000000.0,1.5418012954459481
411,85275000000.0,1.541416702986379
412,85300000000.0,1.541031170158871
413,85325000000.0,1.5406446973258057
414,85350000000.0,1.5402572849894434
415,85375000000.0,1.5398689334301199
416,85400000000.0,1.5394796431866817
417,85425000000.0,1.539089414603269
418,85450000000.0,1.5386982480916367
419,85475000000.0,1.5383061441087977
420,85500000000.0,1.537913103051662
421,85525000000.0,1.5375191254838838
422,85550000000.0,1.53712421177619
423,85575000000.0,1.5367283623388688
424,85600000000.0,1.5363315777526414
425,85625000000.0,1.5359338584291504
426,85650000000.0,1.5355352047868391
427,85675000000.0,1.535135617322954
428,85700000000.0,1.534735096651809
429,85725000000.0,1.5343336431937593
430,85750000000.0,1.533931257384474
431,85775000000.0,1.5335279397717452
432,85800000000.0,1.5331236909743358
433,85825000000.0,1.532718511388537
434,85850000000.0,1.5323124015339407
435,85875000000.0,1.5319053620755232
436,85900000000.0,1.5314973934095628
437,85925000000.0,1.5310884962031424
438,85950000000.0,1.5306786709691962
439,85975000000.0,1.5302679182728458
440,86000000000.0,1.529856238564681
441,86025000000.0,1.5294436327128236
442,86050000000.0,1.5290301010083411
443,86075000000.0,1.5286156441849745
444,86100000000.0,1.5282002628225453
445,86125000000.0,1.5277839574696173
446,86150000000.0,1.5273667288927848
447,86175000000.0,1.5269485775267995
448,86200000000.0,1.5265295040844713
449,86225000000.0,1.5261095091944887
450,86250000000.0,1.5256885935122015
451,86275000000.0,1.52526675763705
452,86300000000.0,1.5248440022721241
453,86325000000.0,1.5244203280500137
454,86350000000.0,1.5239957356417215
455,86375000000.0,1.5235702257331205
456,86400000000.0,1.523143799095515
457,86425000000.0,1.5227164562222133
458,86450000000.0,1.5222881979580598
459,86475000000.0,1.5218590250824193
460,86500000000.0,1.5214289380761516
461,86525000000.0,1.5209979378268004
462,86550000000.0,1.5205660250402862
463,86575000000.0,1.5201332004362071
464,86600000000.0,1.5196994648451267
465,86625000000.0,1.5192648188503561
466,86650000000.0,1.5188292633093152
467,86675000000.0,1.518392798997375
468,86700000000.0,1.5179554266199502
469,86725000000.0,1.51751714714963
470,86750000000.0,1.5170779611421576
471,86775000000.0,1.516637869546713
472,86800000000.0,1.516196873116109
473,86825000000.0,1.5157549726889565
474,86850000000.0,1.5153121690732316
475,86875000000.0,1.5148684630962417
476,86900000000.0,1.514423855562301
477,86925000000.0,1.5139783474462267
478,86950000000.0,1.513531939454643
479,86975000000.0,1.513084632526081
480,87000000000.0,1.5126364274751187
481,87025000000.0,1.5121873252899642
482,87050000000.0,1.5117373268141174
483,87075000000.0,1.5112864328276967
484,87100000000.0,1.510834644438528
485,87125000000.0,1.5103819624073003
486,87150000000.0,1.509928387672011
487,87175000000.0,1.5094739212424684
488,87200000000.0,1.509018564016789
489,87225000000.0,1.5085623169046143
490,87250000000.0,1.5081051808553636
491,87275000000.0,1.5076471569289667
492,87300000000.0,1.5071882460360702
493,87325000000.0,1.5067284490782225
494,87350000000.0,1.506267767165033
495,87375000000.0,1.5058062012413636
496,87400000000.0,1.505343752328102
497,87425000000.0,1.5048804214761928
498,87450000000.0,1.5044162095990412
499,87475000000.0,1.5039511178417517
500,87500000000.0,1.5034851471971318
501,87525000000.0,1.5030182987053273
502,87550000000.0,1.502550573390934
503,87575000000.0,1.502081972541752
504,87600000000.0,1.5016124968700746
505,87625000000.0,1.5011421476919424
506,87650000000.0,1.5006709261028606
507,87675000000.0,1.5001988332368648
508,87700000000.0,1.4997258700169922
509,87725000000.0,1.4992520377344423
510,87750000000.0,1.4987773374804032
511,87775000000.0,1.4983017703018284
512,87800000000.0,1.497825337554435
513,87825000000.0,1.4973480401692845
514,87850000000.0,1.4968698794884747
515,87875000000.0,1.4963908565151502
516,87900000000.0,1.4959109725802096
517,87925000000.0,1.4954302288431236
518,87950000000.0,1.494948626461353
519,87975000000.0,1.4944661666960555
520,88000000000.0,1.493982850757521
521,88025000000.0,1.4934986798238656
522,88050000000.0,1.4930136552776543
523,88075000000.0,1.4925277781526325
524,88100000000.0,1.4920410498659178
525,88125000000.0,1.4915534717159764
526,88150000000.0,1.4910650448620995
527,88175000000.0,1.4905757706543041
528,88200000000.0,1.490085650357204
529,88225000000.0,1.489594685315805
530,88250000000.0,1.4891028768454533
531,88275000000.0,1.4886102262388212
532,88300000000.0,1.488116734867799
533,88325000000.0,1.487622404062615
534,88350000000.0,1.4871272351529743
535,88375000000.0,1.4866312295123458
536,88400000000.0,1.4861343885607383
537,88425000000.0,1.48563671366689
538,88450000000.0,1.4851382061198743
539,88475000000.0,1.4846388674772257
540,88500000000.0,1.4841386991554926
541,88525000000.0,1.483637702340932
542,88550000000.0,1.4831358786881117
543,88575000000.0,1.4826332296516636
544,88600000000.0,1.4821297565335005
545,88625000000.0,1.4816254609283608
546,88650000000.0,1.4811203442022947
547,88675000000.0,1.48061440798992
548,88700000000.0,1.480107653624235
549,88725000000.0,1.4796000826540967
550,88750000000.0,1.479091696685521
551,88775000000.0,1.478582497075634
552,88800000000.0,1.4780724854762695
553,88825000000.0,1.4775616634418056
554,88850000000.0,1.4770500324169487
555,88875000000.0,1.4765375940610166
556,88900000000.0,1.4760243498604362
557,88925000000.0,1.4755103015273996
558,88950000000.0,1.4749954505591822
559,88975000000.0,1.4744797985671911
560,89000000000.0,1.473963347155038
561,89025000000.0,1.4734460979777624
562,89050000000.0,1.4729280527179114
563,89075000000.0,1.472409212898878
564,89100000000.0,1.471889580245165
565,89125000000.0,1.4713691564724354
566,89150000000.0,1.4708479431371162
567,89175000000.0,1.470325941974784
568,89200000000.0,1.4698031547797377
569,89225000000.0,1.4692795830288372
570,89250000000.0,1.4687552286892966
571,89275000000.0,1.4682300933768875
572,89300000000.0,1.4677041788229326
573,89325000000.0,1.4671774867866771
574,89350000000.0,1.4666500190285805
575,89375000000.0,1.4661217771823118
576,89400000000.0,1.4655927632992334
577,89425000000.0,1.4650629790375422
578,89450000000.0,1.4645324261794934
579,89475000000.0,1.4640011064518077
580,89500000000.0,1.4634690218684694
581,89525000000.0,1.4629361741705778
582,89550000000.0,1.4624025651116772
583,89575000000.0,1.4618681967213984
584,89600000000.0,1.4613330706726306
585,89625000000.0,1.4607971889801912
586,89650000000.0,1.4602605534487152
587,89675000000.0,1.4597231660899368
588,89700000000.0,1.4591850286497863
589,89725000000.0,1.4586461432211475
590,89750000000.0,1.4581065115057406
591,89775000000.0,1.4575661357569354
592,89800000000.0,1.4570250176637496
593,89825000000.0,1.4564831592684748
594,89850000000.0,1.4559405624634718
595,89875000000.0,1.4553972293664854
596,89900000000.0,1.4548531618760405
597,89925000000.0,1.454308362086764
598,89950000000.0,1.4537628319027438
599,89975000000.0,1.4532165734951679
600,90000000000.0,1.452669588731639
601,90025000000.0,1.4521218796528088
602,90050000000.0,1.4515734486067549
603,90075000000.0,1.4510242973330483
604,90100000000.0,1.4504744279974273
605,90125000000.0,1.4499238427414198
606,90150000000.0,1.449372543620813
607,90175000000.0,1.4488205328277335
608,90200000000.0,1.4482678123757797
609,90225000000.0,1.4477143845515663
610,90250000000.0,1.4471602513865802
611,90275000000.0,1.4466054149913063
612,90300000000.0,1.4460498775859545
613,90325000000.0,1.445493641397613
614,90350000000.0,1.4449367085218547
615,90375000000.0,1.4443790811926516
616,90400000000.0,1.4438207617616114
617,90425000000.0,1.4432617522127136
618,90450000000.0,1.442702054929827
619,90475000000.0,1.4421416720921925
620,90500000000.0,1.4415806059412613
621,90525000000.0,1.441018858896793
622,90550000000.0,1.4404564330134955
623,90575000000.0,1.4398933307120574
624,90600000000.0,1.4393295542192988
625,90625000000.0,1.4387651059332551
626,90650000000.0,1.4381999880672631
627,90675000000.0,1.4376342031066538
628,90700000000.0,1.4370677531971487
629,90725000000.0,1.4365006408287744
630,90750000000.0,1.4359328683422365
631,90775000000.0,1.4353644381010895
632,90800000000.0,1.4347953525589596
633,90825000000.0,1.4342256139378131
634,90850000000.0,1.4336552247636363
635,90875000000.0,1.4330841874705922
636,90900000000.0,1.432512504450738
637,90925000000.0,1.4319401782062269
638,90950000000.0,1.431367211014832
639,90975000000.0,1.4307936055415866
640,91000000000.0,1.4302193641331444
641,91025000000.0,1.429644489441141
642,91050000000.0,1.4290689837295238
643,91075000000.0,1.4284928496942881
644,91100000000.0,1.4279160897580394
645,91125000000.0,1.4273387064101866
646,91150000000.0,1.4267607023979032
647,91175000000.0,1.4261820800620275
648,91200000000.0,1.425602841965468
649,91225000000.0,1.4250229908327923
650,91250000000.0,1.4244425291021827
651,91275000000.0,1.4238614595552967
652,91300000000.0,1.4232797845540976
653,91325000000.0,1.4226975068881977
654,91350000000.0,1.4221146291169535
655,91375000000.0,1.421531153891905
656,91400000000.0,1.4209470838381058
657,91425000000.0,1.4203624217531081
658,91450000000.0,1.4197771701899322
659,91475000000.0,1.4191913318248028
660,91500000000.0,1.4186049092763402
661,91525000000.0,1.4180179054832769
662,91550000000.0,1.4174303230056584
663,91575000000.0,1.4168421645303115
664,91600000000.0,1.416253432879667
665,91625000000.0,1.4156641308480866
666,91650000000.0,1.4150742611052969
667,91675000000.0,1.4144838263673232
668,91700000000.0,1.4138928295487716
669,91725000000.0,1.4133012734485753
670,91750000000.0,1.4127091606896562
671,91775000000.0,1.4121164943637206
672,91800000000.0,1.4115232770114694
673,91825000000.0,1.4109295116170883
674,91850000000.0,1.4103352010764643
675,91875000000.0,1.4097403480829822
676,91900000000.0,1.4091449556444093
677,91925000000.0,1.408549026538265
678,91950000000.0,1.4079525637555097
679,91975000000.0,1.4073555702473877
680,92000000000.0,1.406758048763232
681,92025000000.0,1.406160002227373
682,92050000000.0,1.405561433800348
683,92075000000.0,1.4049623461428835
684,92100000000.0,1.4043627424132021
685,92125000000.0,1.4037626253555164
686,92150000000.0,1.403161998227797
687,92175000000.0,1.4025608638724876
688,92200000000.0,1.401959225299167
689,92225000000.0,1.4013570854042456
690,92250000000.0,1.4007544474087898
691,92275000000.0,1.4001513142409436
692,92300000000.0,1.399547688932188
693,92325000000.0,1.3989435745367698
694,92350000000.0,1.3983389741123964
695,92375000000.0,1.3977338907054961
696,92400000000.0,1.3971283275091602
697,92425000000.0,1.3965222874954522
698,92450000000.0,1.3959157738930619
699,92475000000.0,1.3953087897593712
700,92500000000.0,1.3947013381562787
701,92525000000.0,1.3940934222233012
702,92550000000.0,1.3934850451215992
703,92575000000.0,1.3928762100619678
704,92600000000.0,1.3922669201581892
705,92625000000.0,1.391657178577428
706,92650000000.0,1.3910469886544663
707,92675000000.0,1.39043635341138
708,92700000000.0,1.3898252761244003
709,92725000000.0,1.3892137599340195
710,92750000000.0,1.3886018081949727
711,92775000000.0,1.3879894240239474
712,92800000000.0,1.3873766106991228
713,92825000000.0,1.3867633715941052
714,92850000000.0,1.3861497098147937
715,92875000000.0,1.3855356287907974
716,92900000000.0,1.3849211316524135
717,92925000000.0,1.384306221793742
718,92950000000.0,1.383690902561413
719,92975000000.0,1.383075177259144
720,93000000000.0,1.3824590491010935
721,93025000000.0,1.3818425215077281
722,93050000000.0,1.3812255977806507
723,93075000000.0,1.3806082814477156
724,93100000000.0,1.3799905755816637
725,93125000000.0,1.379372483855519
726,93150000000.0,1.3787540095780042
727,93175000000.0,1.3781351560654123
728,93200000000.0,1.377515926672695
729,93225000000.0,1.3768963250164206
730,93250000000.0,1.3762763543890197
731,93275000000.0,1.375656018219618
732,93300000000.0,1.3750353200909227
733,93325000000.0,1.3744142633525298
734,93350000000.0,1.3737928513852757
735,93375000000.0,1.3731710877857075
736,93400000000.0,1.3725489760919174
737,93425000000.0,1.3719265195488193
738,93450000000.0,1.3713037220399593
739,93475000000.0,1.3706805867295342
740,93500000000.0,1.3700571173722946
741,93525000000.0,1.3694333174285127
742,93550000000.0,1.3688091902743738
743,93575000000.0,1.3681847397453173
744,93600000000.0,1.3675599692951075
745,93625000000.0,1.366934882425104
746,93650000000.0,1.3663094828184577
747,93675000000.0,1.3656837739223455
748,93700000000.0,1.365057759449761
749,93725000000.0,1.3644314430300575
750,93750000000.0,1.3638048281953137
751,93775000000.0,1.3631779185234223
752,93800000000.0,1.3625507178993763
753,93825000000.0,1.3619232296427628
754,93850000000.0,1.3612954577124783
755,93875000000.0,1.3606674054689019
756,93900000000.0,1.3600390767994868
757,93925000000.0,1.35941047532472
758,93950000000.0,1.3587816047444372
759,93975000000.0,1.3581524687191264
760,94000000000.0,1.3575230709655222
761,94025000000.0,1.3568934152224086
762,94050000000.0,1.356263505238397
763,94075000000.0,1.3556333446317281
764,94100000000.0,1.35500293718467
765,94125000000.0,1.3543722868026946
766,94150000000.0,1.3537413971119738
767,94175000000.0,1.3531102718271517
768,94200000000.0,1.3524789147534768
769,94225000000.0,1.351847329760747
770,94250000000.0,1.3512155206300958
771,94275000000.0,1.3505834911026329
772,94300000000.0,1.3499512449892261
773,94325000000.0,1.3493187859712292
774,94350000000.0,1.3486861182321086
775,94375000000.0,1.348053245317017
776,94400000000.0,1.3474201711703648
777,94425000000.0,1.3467868995914694
778,94450000000.0,1.3461534345287212
779,94475000000.0,1.3455197796946812
780,94500000000.0,1.3448859391275334
781,94525000000.0,1.3442519165536195
782,94550000000.0,1.3436177160191667
783,94575000000.0,1.342983341375103
784,94600000000.0,1.3423487965106329
