,freq,circ_pol
106,815828041000.0,-99.98960770495862
107,820713239000.0,-99.98999761411905
108,825598437000.0,-99.99042241172941
109,830483635000.0,-99.9908775425025
110,835368832000.0,-99.99135550981845
111,840254030000.0,-99.99184781937825
112,845139228000.0,-99.99234690075495
113,850024426000.0,-99.9928470333566
114,854909624000.0,-99.9933440882057
115,859794822000.0,-99.99383465857268
116,864680020000.0,-99.99431532220065
117,869565217000.0,-99.99478247439701
118,874450415000.0,-99.99523252739417
119,879335613000.0,-99.9956623719866
120,884220811000.0,-99.99606988589662
121,889106009000.0,-99.99645447698572
122,893991207000.0,-99.99681735015605
123,898876404000.0,-99.99716105886932
124,903761602000.0,-99.99748808374048
125,908646800000.0,-99.99779891026172
126,913531998000.0,-99.99809049467726
127,918417196000.0,-99.99835591783828
128,923302394000.0,-99.99858535435999
129,928187592000.0,-99.99876786680883
130,933072789000.0,-99.99889332071687
131,937957987000.0,-99.9989539005225
132,942843185000.0,-99.99894488342548
133,947728383000.0,-99.99886443853396
134,952613581000.0,-99.99871231486843
135,957498779000.0,-99.99848781084955
136,962383977000.0,-99.99818807036188
137,967269174000.0,-99.99780798432826
138,972154372000.0,-99.99734233261277
139,977039570000.0,-99.99678950469662
140,981924768000.0,-99.99615498187204
141,986809966000.0,-99.99545276954633
142,991695164000.0,-99.99470363191898
143,996580362000.0,-99.99393059437794
144,1001465560000.0,-99.99315328386959
145,1006350760000.0,-99.99238339242616
146,1011235960000.0,-99.99162311275393
147,1016121150000.0,-99.99086749050035
148,1021006350000.0,-99.99010974730632
149,1025891550000.0,-99.9893476512535
150,1030776750000.0,-99.9885879553389
151,1035661940000.0,-99.98784690239984
152,1040547140000.0,-99.98714638119296
153,1045432340000.0,-99.98650740246954
154,1050317540000.0,-99.98594409368441
155,1055202740000.0,-99.98546079730487
156,1060087930000.0,-99.98505351240077
157,1064973130000.0,-99.98471488993953
158,1069858330000.0,-99.98444066386311
159,1074743530000.0,-99.98423470174083
160,1079628720000.0,-99.98410994911634
161,1084513920000.0,-99.98408407747121
162,1089399120000.0,-99.98417152712766
163,1094284320000.0,-99.98437637493743
164,1099169520000.0,-99.98469053526247
165,1104054710000.0,-99.98509868271303
166,1108939910000.0,-99.9855869110961
167,1113825110000.0,-99.98614965883465
168,1118710310000.0,-99.98679060438324
169,1123595510000.0,-99.98751684698699
170,1128480700000.0,-99.98832921497353
171,1133365900000.0,-99.98921388679666
172,1138251100000.0,-99.99014034791361
173,1143136300000.0,-99.99106790475335
174,1148021490000.0,-99.99195837066773
175,1152906690000.0,-99.99278873544833
176,1157791890000.0,-99.99355776879281
177,1162677090000.0,-99.9942839134133
178,1167562290000.0,-99.99499545667845
179,1172447480000.0,-99.99571683085476
180,1177332680000.0,-99.99645602814138
181,1182217880000.0,-99.99719788433936
182,1187103080000.0,-99.99790621787889
183,1191988280000.0,-99.99853457610281
184,1196873470000.0,-99.9990410250902
185,1201758670000.0,-99.99939978141144
186,1206643870000.0,-99.99960416081446
187,1211529070000.0,-99.99966043407873
188,1216414260000.0,-99.99957708961311
189,1221299460000.0,-99.99935621316473
190,1226184660000.0,-99.99899209692697
191,1231069860000.0,-99.99847800317153
192,1235955060000.0,-99.99781678786036
193,1240840250000.0,-99.9970281717934
194,1245725450000.0,-99.99614727522301
195,1250610650000.0,-99.99521467057217
196,1255495850000.0,-99.99426320075287
197,1260381050000.0,-99.99330761041973
198,1265266240000.0,-99.9923408758594
199,1270151440000.0,-99.99133904307448
200,1275036640000.0,-99.99027361677567
201,1279921840000.0,-99.98912836028123
202,1284807030000.0,-99.98791390414492
203,1289692230000.0,-99.9866716546945
204,1294577430000.0,-99.98546372865039
205,1299462630000.0,-99.98435358436478
206,1304347830000.0,-99.98338949484473
207,1309233020000.0,-99.98259869798645
208,1314118220000.0,-99.98199223863703
209,1319003420000.0,-99.98157424397913
210,1323888620000.0,-99.98134988186447
211,1328773820000.0,-99.98132900450626
212,1333659010000.0,-99.98152394140803
213,1338544210000.0,-99.98194160237158
214,1343429410000.0,-99.98257446482903
215,1348314610000.0,-99.98339832958486
216,1353199800000.0,-99.98438084987662
217,1358085000000.0,-99.9854952699142
218,1362970200000.0,-99.98672797993702
219,1367855400000.0,-99.98807442376284
220,1372740600000.0,-99.9895257914722
221,1377625790000.0,-99.99105444761646
222,1382510990000.0,-99.99260539724466
223,1387396190000.0,-99.99409795816553
224,1392281390000.0,-99.99543968827162
225,1397166590000.0,-99.99654967100489
226,1402051780000.0,-99.99738185454807
227,1406936980000.0,-99.99793538030629
228,1411822180000.0,-99.99824398912864
229,1416707380000.0,-99.99834860708464
230,1421592570000.0,-99.99826792516485
231,1426477770000.0,-99.99798311768846
232,1431362970000.0,-99.99744538859547
233,1436248170000.0,-99.99660406085569
234,1441133370000.0,-99.99544296168648
235,1446018560000.0,-99.99400651002325
236,1450903760000.0,-99.99239938773549
