,freq,circ_pol
131,937957987000.0,-99.99016071851375
132,942843185000.0,-99.99023398843292
133,947728383000.0,-99.99035568316216
134,952613581000.0,-99.99052568749865
135,957498779000.0,-99.99074314428402
136,962383977000.0,-99.99100647126222
137,967269174000.0,-99.99131338882297
138,972154372000.0,-99.99166095833489
139,977039570000.0,-99.99204562929349
140,981924768000.0,-99.99246329564724
141,986809966000.0,-99.99290935940266
142,991695164000.0,-99.9933788008275
143,996580362000.0,-99.99386625410716
144,1001465560000.0,-99.99436608733038
145,1006350760000.0,-99.99487248586738
146,1011235960000.0,-99.99537953694359
147,1016121150000.0,-99.99588131531387
148,1021006350000.0,-99.99637197296043
149,1025891550000.0,-99.99684581731574
150,1030776750000.0,-99.99729739730614
151,1035661940000.0,-99.99772157983601
152,1040547140000.0,-99.99811362699096
153,1045432340000.0,-99.99846925906328
154,1050317540000.0,-99.99878471990037
155,1055202740000.0,-99.99905683053164
156,1060087930000.0,-99.99928303522805
157,1064973130000.0,-99.9994614409955
158,1069858330000.0,-99.99959084318742
159,1074743530000.0,-99.99967074600843
160,1079628720000.0,-99.99970137029517
161,1084513920000.0,-99.99968365142966
162,1089399120000.0,-99.99961922601601
163,1094284320000.0,-99.99951040851803
164,1099169520000.0,-99.99936015675486
165,1104054710000.0,-99.99917202747575
166,1108939910000.0,-99.99895011980973
167,1113825110000.0,-99.99869901309346
168,1118710310000.0,-99.99842369201528
169,1123595510000.0,-99.99812946551894
170,1128480700000.0,-99.99782187892754
171,1133365900000.0,-99.99750661694641
172,1138251100000.0,-99.99718940836485
173,1143136300000.0,-99.99687592124118
174,1148021490000.0,-99.9965716601593
175,1152906690000.0,-99.99628185979432
176,1157791890000.0,-99.99601138648273
177,1162677090000.0,-99.99576463713217
178,1167562290000.0,-99.99554544679535
179,1172447480000.0,-99.99535700337387
180,1177332680000.0,-99.9952017697989
181,1182217880000.0,-99.99508142116426
182,1187103080000.0,-99.9949967908365
183,1191988280000.0,-99.99494783313824
184,1196873470000.0,-99.99493360161095
185,1201758670000.0,-99.99495224449777
186,1206643870000.0,-99.99500101869164
187,1211529070000.0,-99.99507632229322
188,1216414260000.0,-99.9951737465327
189,1221299460000.0,-99.99528814803588
190,1226184660000.0,-99.99541373798728
191,1231069860000.0,-99.99554419141812
