,freq,alpha,ref_ind,epsilon_r,epsilon_i
61,595994138000.0,0.014090702974425584,2.1538472958965893,4.6390581740410495,0.00024296651027800695
62,600879336000.0,0.014552642071493276,2.15386114251873,4.63911782125209,0.00024889324767685497
63,605764533000.0,0.015022031374945836,2.1538751021951414,4.639177955856131,0.0002548509008985383
64,610649731000.0,0.015498871076951283,2.153889174932112,4.639238577889733,0.00026083873405506434
65,615534929000.0,0.015983161082188155,2.1539033607273743,4.639299687352677,0.00026685603108099915
66,620420127000.0,0.01647490139065645,2.1539176595815097,4.639361284257088,0.0002729020996811084
67,625305325000.0,0.016974092002356146,2.153932071495109,4.639423368615212,0.00027897626923295825
68,630190523000.0,0.017480732917287276,2.1539465964687623,4.639485940439365,0.0002850778899468836
69,635075721000.0,0.017994824135449828,2.1539612345030688,4.639548999741984,0.0002912063320647289
70,639960918000.0,0.01851636554932171,2.1539759855955998,4.639612546522535,0.00029736098383278676
71,644846116000.0,0.019045357372422023,2.153990849752998,4.639676580819643,0.00030354125581680296
72,649731314000.0,0.01958179949875374,2.1540058269728695,4.639741102633075,0.0003097465726457663
73,654616512000.0,0.020125691928316893,2.154020917255829,4.639806111975643,0.0003159763773804356
74,659501710000.0,0.020677034661111465,2.1540361206024974,4.639871608860257,0.00032223012962004886
75,664386908000.0,0.02123582769713744,2.1540514370134995,4.639937593299923,0.00032850730489429196
76,669272106000.0,0.02180207103639485,2.1540668664894675,4.640004065307753,0.0003348073940818966
77,674157303000.0,0.02237576456068605,2.1540824090278408,4.640071024883186,0.00034112990155803463
78,679042501000.0,0.02295690850488122,2.1540980646356243,4.640138472066942,0.00034747434984367553
79,683927699000.0,0.0235455027523078,2.15411383331029,4.640206406858751,0.000353840271330817
80,688812897000.0,0.02414154730296581,2.154129715052488,4.640274829272114,0.0003602272129672446
81,693698095000.0,0.024745042156855242,2.154145709862872,4.640343739320616,0.00036663473449755307
82,698583293000.0,0.025355987313976074,2.154161817742099,4.640413137017945,0.00037306240801570706
83,703468490000.0,0.02597438264698025,2.1541780386875025,4.640483022363535,0.00037950981621446796
84,708353688000.0,0.026600228409038865,2.154194372706388,4.640553395399868,0.0003859765572575286
