,freq,lp_cp_deg
79,683927699000.0,-0.9999422948752099
80,688812897000.0,-0.999935690280206
81,693698095000.0,-0.9999292715411636
82,698583293000.0,-0.9999230941766256
83,703468490000.0,-0.9999171219536409
84,708353688000.0,-0.9999112697796013
85,713238886000.0,-0.9999054719590696
86,718124084000.0,-0.9998997488986481
87,723009282000.0,-0.9998942364669433
88,727894480000.0,-0.9998891564636225
89,732779678000.0,-0.9998847369859265
90,737664875000.0,-0.9998811285921029
91,742550073000.0,-0.9998783646844485
92,747435271000.0,-0.9998763798593507
93,752320469000.0,-0.9998750616671461
94,757205667000.0,-0.9998743016763264
95,762090865000.0,-0.9998740256518268
96,766976063000.0,-0.9998741990644916
97,771861260000.0,-0.9998748136770093
98,776746458000.0,-0.9998758649092409
99,781631656000.0,-0.9998773316315966
100,786516854000.0,-0.9998791695016497
101,791402052000.0,-0.9998813217278043
102,796287250000.0,-0.9998837401862357
103,801172447000.0,-0.9998864036713688
104,806057645000.0,-0.9998893234228732
105,810942843000.0,-0.9998925343794814
106,815828041000.0,-0.999896077049586
107,820713239000.0,-0.9998999761411905
108,825598437000.0,-0.9999042241172938
109,830483635000.0,-0.9999087754250249
110,835368832000.0,-0.9999135550981839
111,840254030000.0,-0.9999184781937827
112,845139228000.0,-0.9999234690075497
113,850024426000.0,-0.9999284703335662
114,854909624000.0,-0.999933440882057
115,859794822000.0,-0.9999383465857266
116,864680020000.0,-0.9999431532220066
117,869565217000.0,-0.9999478247439701
118,874450415000.0,-0.9999523252739416
119,879335613000.0,-0.999956623719866
120,884220811000.0,-0.9999606988589661
121,889106009000.0,-0.999964544769857
122,893991207000.0,-0.9999681735015603
123,898876404000.0,-0.9999716105886929
124,903761602000.0,-0.9999748808374046
125,908646800000.0,-0.9999779891026173
126,913531998000.0,-0.9999809049467727
127,918417196000.0,-0.9999835591783829
128,923302394000.0,-0.9999858535435999
129,928187592000.0,-0.9999876786680881
130,933072789000.0,-0.9999889332071689
131,937957987000.0,-0.999989539005225
132,942843185000.0,-0.9999894488342546
133,947728383000.0,-0.9999886443853396
134,952613581000.0,-0.9999871231486844
135,957498779000.0,-0.9999848781084952
136,962383977000.0,-0.9999818807036187
137,967269174000.0,-0.9999780798432827
138,972154372000.0,-0.9999734233261276
139,977039570000.0,-0.9999678950469666
140,981924768000.0,-0.9999615498187204
141,986809966000.0,-0.9999545276954633
142,991695164000.0,-0.9999470363191897
143,996580362000.0,-0.9999393059437794
144,1001465560000.0,-0.9999315328386958
145,1006350760000.0,-0.9999238339242615
146,1011235960000.0,-0.9999162311275389
147,1016121150000.0,-0.9999086749050032
148,1021006350000.0,-0.999901097473063
149,1025891550000.0,-0.9998934765125347
150,1030776750000.0,-0.999885879553389
151,1035661940000.0,-0.9998784690239985
152,1040547140000.0,-0.9998714638119296
153,1045432340000.0,-0.9998650740246955
154,1050317540000.0,-0.9998594409368439
155,1055202740000.0,-0.9998546079730485
156,1060087930000.0,-0.999850535124008
157,1064973130000.0,-0.9998471488993954
158,1069858330000.0,-0.9998444066386313
159,1074743530000.0,-0.9998423470174082
160,1079628720000.0,-0.9998410994911628
161,1084513920000.0,-0.9998408407747121
162,1089399120000.0,-0.9998417152712763
163,1094284320000.0,-0.9998437637493741
164,1099169520000.0,-0.9998469053526248
165,1104054710000.0,-0.9998509868271298
166,1108939910000.0,-0.999855869110961
