,freq,diattenuation
150,78750000000.0,0.06323363588522102
151,78775000000.0,0.06331782617267266
152,78800000000.0,0.06340423502415166
153,78825000000.0,0.06349411070905463
154,78850000000.0,0.06358866024076869
155,78875000000.0,0.06368904576810758
156,78900000000.0,0.0637963810956907
157,78925000000.0,0.06391172846320245
158,78950000000.0,0.0640360953445571
159,78975000000.0,0.06417043156595183
160,79000000000.0,0.06431562659374634
161,79025000000.0,0.06447250695076252
162,79050000000.0,0.06464183392883173
163,79075000000.0,0.06482430140985829
164,79100000000.0,0.06502053396399043
165,79125000000.0,0.06523108525949772
166,79150000000.0,0.06545643638632165
167,79175000000.0,0.06569699476702497
168,79200000000.0,0.06595309301867298
169,79225000000.0,0.06622498820922687
170,79250000000.0,0.06651286116251452
171,79275000000.0,0.06681681618092135
