,freq,n_s,n_p,bf,k_s,k_p
1156,103900000000.0,1.2067337767416308,1.292612685787752,0.08587890904612117,0.0070784829165915905,0.01336770040312085
1157,103925000000.0,1.2067498529419114,1.2926350900611838,0.08588523711927243,0.006727179619115273,0.012703869401420086
1158,103950000000.0,1.2067662719011865,1.292658138084341,0.08589186618315447,0.006383973254813191,0.012055380146562019
1159,103975000000.0,1.2067830238881763,1.2926818114356824,0.08589878754750613,0.006049466473666347,0.011423367304864174
1160,104000000000.0,1.2068000983225398,1.29270609009578,0.08590599177324032,0.0057242493456685995,0.010808941709184929
1161,104025000000.0,1.2068174837974914,1.292730952489919,0.08591346869242766,0.005408897667609578,0.010213187322661294
1162,104050000000.0,1.2068351681027367,1.2927563755312714,0.08592120742853471,0.005103971306770497,0.009637158007975663
1163,104075000000.0,1.2068531382543988,1.2927823346772458,0.08592919642284702,0.004810012493081273,0.009081874397629008
1164,104100000000.0,1.2068713805212057,1.292808803978742,0.0859374234575363,0.004527544376995821,0.008548321068158725
1165,104125000000.0,1.2068898804581056,1.292835756143422,0.08594587568531642,0.004257069228060404,0.008037443268675592
1166,104150000000.0,1.2069086229395156,1.292863162598261,0.08595453965874533,0.003999067028656476,0.007550144224589579
1167,104175000000.0,1.206927592194378,1.292890993555506,0.0859634013611279,0.003753993992632336,0.007087282361340042
1168,104200000000.0,1.2069467718453184,1.2929192180863605,0.08597244624104206,0.0035222811263209077,0.006649668527995734
1169,104225000000.0,1.2069661449465765,1.2929478041923619,0.08598165924578538,0.003304332864828891,0.006238063547811631
1170,104250000000.0,1.206985694027088,1.2929767188864658,0.08599102485937782,0.003100525695344037,0.005853175516422162
1171,104275000000.0,1.2070054011325475,1.2930059282722233,0.08600052713967576,0.0029112069885611873,0.0054956576591072715
1172,104300000000.0,1.2070252478696504,1.2930353976270732,0.08601014975742283,0.0027366939095877798,0.005166106144559065
1173,104325000000.0,1.2070452154534925,1.2930650914916038,0.08601987603811123,0.0025772720554155383,0.004865057772318926
1174,104350000000.0,1.2070652847526646,1.2930949737544875,0.08602968900182284,0.0024331946746221885,0.004592988171763329
1175,104375000000.0,1.2070854363392054,1.2931250077465903,0.08603957140738494,0.0023046815873912986,0.004350310104036979
1176,104400000000.0,1.207105650537783,1.2931551563336565,0.08604950579587345,0.002191918370083387,0.00413737170560219
1177,104425000000.0,1.2071259074756895,1.2931853820105446,0.08605947453485507,0.0020950556647521272,0.003954455049394079
1178,104450000000.0,1.2071461871319675,1.2932156469938556,0.08606945986188808,0.0020142084064472643,0.003801774916375436
1179,104475000000.0,1.2071664693929778,1.2932459133267369,0.0860794439337591,0.0019494552032798486,0.0036794775610854173
1180,104500000000.0,1.2071867341011369,1.29327614297083,0.08608940886969307,0.0019008377591408468,0.003587639861117462
1181,104525000000.0,1.2072069611083336,1.2933062979070746,0.08609933679874104,0.0018683609511659766,0.00352626861871715
1182,104550000000.0,1.2072271303275846,1.29333634023322,0.08610920990563553,0.0018519918237916207,0.0034952997764844296
1183,104575000000.0,1.2072472217871757,1.2933662322660513,0.0861190104788756,0.0018516599444451623,0.003494598289678175
1184,104600000000.0,1.2072672156811919,1.293395936636837,0.08612872095564517,0.0018672572448522765,0.003523957897706463
1185,104625000000.0,1.207287092423653,1.2934254163935988,0.08613832396994581,0.0018986376719579577,0.00358310094333079
1186,104650000000.0,1.2073068326973997,1.2934546350935032,0.08614780239610353,0.0019456177166449066,0.0036716788871428287
1187,104675000000.0,1.2073264175081369,1.2934835569050143,0.08615713939687741,0.0020079765136149196,0.0037892726514779547
1188,104700000000.0,1.2073458282325908,1.2935121466989488,0.08616631846635792,0.0020854560776906914,0.003935393082378056
1189,104725000000.0,1.2073650466694663,1.293540370144841,0.0861753234753746,0.002177761967771312,0.004109482236085229
1190,104750000000.0,1.207384055087285,1.2935681938014323,0.08618413871414732,0.0022845636744101222,0.00431091384169961
1191,104775000000.0,1.207402836272326,1.2935955852073666,0.0861927489350407,0.0024054953329393086,0.0045389951067194975
1192,104800000000.0,1.2074213735739172,1.293622512966893,0.0862011393929758,0.002540156549853396,0.0047929678922785
1193,104825000000.0,1.2074396509510583,1.2936489468380803,0.08620929588702197,0.0026881133247225564,0.005072010555323008
1194,104850000000.0,1.2074576530129792,1.2936748578095918,0.08621720479661255,0.0028488988094295367,0.005375239625207958
1195,104875000000.0,1.2074753650628873,1.2937002181834678,0.08622485312058048,0.0030220148122444093,0.005701712275995052
1196,104900000000.0,1.2074927731379645,1.2937250016508202,0.08623222851285561,0.0032069326777515086,0.006050428158071792
1197,104925000000.0,1.2075098640448048,1.2937491833589092,0.08623931931410445,0.003403094779417269,0.006420332291383192
1198,104950000000.0,1.2075266253981634,1.2937727399844487,0.0862461145862854,0.0036099157769214235,0.0068103174817612955
1199,104975000000.0,1.20754304565325,1.2937956497947025,0.08625260414145242,0.003826784363143323,0.0072192273480376394
1200,105000000000.0,1.207559114137902,1.2938178927083275,0.08625877857042541,0.004053064625587811,0.007645859314640129
1201,105025000000.0,1.2075748210817652,1.293839450350536,0.08626462926877076,0.0042880978600010455,0.008088967752375545
1202,105050000000.0,1.2075901576421961,1.293860306102035,0.08627014845983894,0.004531204466856106,0.008547267591584144
1203,105075000000.0,1.2076051159293946,1.2938804451464698,0.08627532921707526,0.00478168556778877,0.009019437640736622
1204,105100000000.0,1.2076196890304634,1.2938998545157991,0.08628016548533579,0.005038825267217358,0.009504124459173334
1205,105125000000.0,1.2076338710226306,1.2939185231151793,0.08628465209254865,0.005301892351796196,0.00999994606970973
1206,105150000000.0,1.2076476569956724,1.293936441765147,0.08628878476947466,0.005570142649884381,0.010505496051705083
1207,105175000000.0,1.2076610430623727,1.2939536032211936,0.08629256015882092,0.005842821074715301,0.011019347561385262
1208,105200000000.0,1.2076740263700945,1.2939700021953673,0.08629597582527282,0.006119163871208208,0.011540057651609927
1209,105225000000.0,1.2076866051081963,1.293985635369997,0.08629903026180075,0.00639840080105081,0.01206617135640026
1210,105250000000.0,1.2076987785134197,1.294000501407519,0.08630172289409943,0.006679757666508825,0.012596226313153163
1211,105275000000.0,1.2077105468713338,1.2940146009528244,0.08630405408149056,0.00696245841869092,0.013128757133067322
1212,105300000000.0,1.207721911517269,1.294027936634578,0.0863060251173089,0.007245727744842611,0.013662299932060301
1213,105325000000.0,1.2077328748293472,1.2940405130515813,0.08630763822223408,0.007528793340190449,0.014195396903967792
1214,105350000000.0,1.2077434402251084,1.2940523367658718,0.08630889654076346,0.0078108883913579315,0.014726600832487894
1215,105375000000.0,1.2077536121474515,1.2940634162756108,0.08630980412815936,0.008091254050097163,0.01525447990994131
1216,105400000000.0,1.207763396055994,1.294073761998156,0.08631036594216202,0.008369141812223296,0.015777622133980453
1217,105425000000.0,1.2077727984094189,1.2940833862360894,0.08631058782667056,0.008643816013112045,0.01629464010465784
1218,105450000000.0,1.2077818266474345,1.2940923031424845,0.08631047649504997,0.00891455616027081,0.016804175372956587
1219,105475000000.0,1.2077904891678133,1.2941005286768568,0.08631003950904348,0.009180659407189385,0.017304903227058212
1220,105500000000.0,1.2077987953056308,1.2941080805652414,0.08630928525961057,0.009441442896144795,0.017795536913440813
1221,105525000000.0,1.2078067553023508,1.2941149782411054,0.08630822293875462,0.00969624604467927,0.018274832172006008
1222,105550000000.0,1.207814380279861,1.2941212427955782,0.08630686251571706,0.009944432841239565,0.018741591422800317
1223,105575000000.0,1.2078216822059045,1.2941268969114503,0.08630521470554586,0.010185394123409679,0.019194668079597764
1224,105600000000.0,1.2078286738614348,1.2941319648008087,0.08630329093937394,0.010418549603421983,0.01963297040007629
1225,105625000000.0,1.20783536880237,1.2941364721321031,0.08630110332973318,0.010643350113492942,0.020055465666102192
1226,105650000000.0,1.2078417813214033,1.294140445957351,0.0862986646359476,0.010859279355301892,0.02046118355744221
1227,105675000000.0,1.207847926406694,1.2941439146334672,0.08629598822677331,0.011065856124754048,0.02084922016814452
1228,105700000000.0,1.2078538196988695,1.2941469077404482,0.08629308804157865,0.01126263581870524,0.021218741005558546
1229,105725000000.0,1.2078594774447038,1.2941494559933175,0.08628997854861375,0.011449212374407556,0.021568984485206295
1230,105750000000.0,1.2078649164515796,1.2941515911556003,0.08628667470402074,0.011625219706389786,0.02189926466170713
1231,105775000000.0,1.207870154039223,1.2941533459476975,0.08628319190847455,0.011790333241932906,0.022208974131025842
1232,105800000000.0,1.2078752079885657,1.294154753949899,0.08627954596133325,0.011944271249826355,0.022497586476985236
1233,105825000000.0,1.2078800964925736,1.2941558495091678,0.08627575301659429,0.012086796054977188,0.022764658472591903
1234,105850000000.0,1.2078848381012908,1.2941566676350844,0.08627182953379364,0.012217715125418029,0.023009832215461865
1235,105875000000.0,1.2078894516721046,1.2941572439056959,0.08626779223359127,0.012336882047427418,0.023232836765338907
1236,105900000000.0,1.2078939563116708,1.294157614357732,0.08626365804606118,0.012444197166692997,0.02343348949890248
1237,105925000000.0,1.207898371325524,1.2941578153913667,0.08625944406584263,0.012539608375992849,0.023611697370714498
1238,105950000000.0,1.2079027161595552,1.294157883659743,0.08625516750018769,0.012623111511499963,0.023767457753205757
1239,105975000000.0,1.207907010346298,1.2941578559676357,0.08625084562133756,0.012694750668213448,0.023900858903795646
