,freq,delta_0_-8.65,delta_1_1.63,delta_2_-4.83,delta_3_8.14,delta_4_5.35,delta_5_-6.63,delta_6_-4.38,delta_7_1.07,delta_8_-9.16,delta_9_8.26,delta_10_5.81,delta_11_9.27,delta_12_7.87,delta_13_8.52,delta_14_-7.18,delta_15_-7.25,delta_16_0.52,delta_17_-5.94,delta_18_8.83,delta_19_-0.01,delta_20_5.04,delta_21_-1.32,delta_22_8.79,delta_23_-6.99,delta_24_-8.96,delta_25_0.53,delta_26_2.16,delta_27_6.39,delta_28_3.87,delta_29_-2.71,delta_30_4.01,delta_31_-3.22,delta_32_3.77,delta_33_2.16,delta_34_8.46,delta_35_9.1,delta_36_-0.69,delta_37_-1.58,delta_38_9.24,delta_39_1.16,delta_40_3.21,delta_41_1.16,delta_42_-2.69,delta_43_8.25,delta_44_-8.36,delta_45_-6.19,delta_46_5.7,delta_47_7.59,delta_48_2.06,delta_49_-7.59
10,87500000000.0,1.6673001512513919,1.5510565235037195,1.6486765675798722,1.3787632776276242,1.460602970571938,1.6612626768653649,1.644498899283516,1.5626255177716708,1.6674068324189215,1.3749288034911673,1.447878060466475,1.342523110049859,1.38696844045432,1.3665823422299757,1.6637844761149538,1.6640483119826779,1.573426171878952,1.657212245208168,1.3567435283162799,1.5832325396990699,1.4690924259517542,1.6054819094435526,1.3581085515190312,1.6629711542484715,1.6674341503385475,1.5731144646626845,1.539516370661869,1.4313772513636076,1.4992437943602286,1.6254390705678645,1.4959037444237229,1.6318276772712745,1.5017895337032625,1.5395641078032405,1.368556078324271,1.3480774780327966,1.595202838478375,1.6093611911924737,1.3435973657218852,1.5607425539396544,1.5154936752025436,1.5606819174900304,1.6251240119314405,1.3751310666056362,1.666971768484988,1.6588342550813855,1.451007648738146,1.3957560427224018,1.541690003322092,1.6652318437460967
11,88750000000.0,1.6727032637878412,1.5501043478819878,1.6515009355328187,1.3751311475031138,1.4579321271025136,1.6652696208206108,1.6470356907367376,1.5619666781248156,1.673172717436113,1.3712621198889696,1.445027076365545,1.3385974573354484,1.3834131478887646,1.3628433709814698,1.6681658965984743,1.6684758539961302,1.5730625432356624,1.6607584411160632,1.3529243860719746,1.5831575489930896,1.4665488850122164,1.60615354508744,1.3543002111430287,1.6672202846344557,1.6730543067916912,1.5727419988562414,1.5382922387732072,1.4283106699743318,1.4972028153540327,1.6269362285732054,1.4938029473761865,1.6336364564724857,1.499794889178727,1.538341061787471,1.3648338430362559,1.344192131190242,1.5955115890054228,1.6101793309825743,1.3396793803108398,1.5600344430993018,1.5137599950874168,1.5599722302409162,1.6266065264771963,1.37146618434412,1.6721660386951305,1.6625508669060172,1.4481998152030418,1.392287516754375,1.5405156339605814,1.6698935111791953
12,90000000000.0,1.6803400538633495,1.547785385344509,1.6553890760835577,1.3673130926088273,1.4522988630923144,1.6709171991197784,1.6504847865946985,1.5601718571866647,1.6813117001664575,1.3633562545776472,1.439011786990243,1.329995891315381,1.375787044726425,1.354750465638433,1.6743560255387142,1.6747323391301718,1.5717861975549525,1.6657290370498787,1.3446180749418977,1.582380094066688,1.4611802559312146,1.6066335679653352,1.3460230563292996,1.6732195208915308,1.6809922650717926,1.5714502565956219,1.535478596248828,1.4218247336859728,1.4928430478972736,1.6287580042380634,1.4893257593406193,1.635952896740893,1.4955256304058808,1.5355294122622336,1.3567846657672216,1.3357040598138568,1.5953860778348985,1.6109009828989738,1.3310995838749926,1.5581522287765799,1.5099936945484138,1.5580872156107888,1.6284049047674403,1.3635649210930911,1.679511029876035,1.667773091357658,1.4422768982201397,1.3848732326764905,1.537793174254229,1.6764852851393934
13,91250000000.0,1.6914420145660207,1.545658163462484,1.6611994377377886,1.359237742448154,1.4464197594675974,1.6791631184408307,1.6557000612699737,1.5586730972999612,1.6931531294368634,1.3551991020771177,1.4327293791825289,1.3212136859940402,1.3678925593798161,1.3464211240633728,1.6833697896360516,1.6838405733531618,1.5709173441250726,1.6730280918656026,1.3360958677665433,1.5821248264602565,1.455584590598334,1.6079560521621654,1.3375269637802414,1.6819621980924517,1.692536752195525,1.570562582267705,1.5327662245912317,1.4150556522412747,1.4883558920956719,1.6318111455657176,1.484707431635408,1.6396560102693667,1.4911399512255326,1.5328193820895333,1.3484953238707118,1.3270208126174925,1.5959433321473642,1.6125315980650416,1.322336261363036,1.5565480913433116,1.5061775963864177,1.5564797054748338,1.6314274606072878,1.3554120407795152,1.690186859830501,1.6754226483919916,1.4360913521214362,1.3771814421720194,1.5351880633061183,1.6860727567443596
14,92500000000.0,1.7045089111980083,1.543303104518194,1.6680221379012732,1.3502775225964279,1.4398496562011271,1.6888481914506226,1.6618263531949324,1.5570342024533463,1.7071003590065548,1.3461517832823873,1.4257144767174572,1.3115079044055242,1.3591255542435152,1.33719110298015,1.6939613176482782,1.6945437615740673,1.5699984971762708,1.681598059809974,1.3266623215972566,1.5819093653264504,1.4493283069499432,1.6095574029898225,1.328120901656989,1.692233478098573,1.706130227700851,1.5696221902856191,1.5297465346355459,1.4075070263457108,1.483335311450851,1.6354173357440978,1.4795399948682102,1.6440180620043083,1.4862330878780758,1.5298023472363802,1.339307664705466,1.3174183343256431,1.5966621104935292,1.6144890292538463,1.3126501602975251,1.5547889529242171,1.5019106684210082,1.5547167195965779,1.6349981203076691,1.3463692661307314,1.7027473667583823,1.6844050530942223,1.4291830814719815,1.3686319409261591,1.5322900378922863,1.6973428523624268
15,93750000000.0,1.7178197623170348,1.5411506443020846,1.6745409467463137,1.3439273768126627,1.4346320998430748,1.6984079956412117,1.6676254430116373,1.5554800167377287,1.7214141776569862,1.3397766028770768,1.4202375037439712,1.3050067716075446,1.352836581392845,1.3307690580817289,1.7045103453767103,1.7052154810554283,1.5690627542003472,1.689957869378846,1.320198101768856,1.5815928263796062,1.4443034744977696,1.6109018807399131,1.3216617052306407,1.7024316302120486,1.7200397209008882,1.568667709791244,1.5270552754088573,1.4017430242058175,1.479135111187757,1.6386848229931168,1.475236878342181,1.6480322979485278,1.4821134049015612,1.5271132069477913,1.3328957701956758,1.3109283096819944,1.5971891800879874,1.6161685657907832,1.3061508499899164,1.553133104164167,1.498256747421257,1.553057625785244,1.6382307848086288,1.3399953505613453,1.7154861728495625,1.6932064823892317,1.423766735289103,1.3624202854427976,1.5296961575928432,1.708640276940466
16,95000000000.0,1.7227532151808034,1.5400710292109607,1.6764860841408535,1.3428227055567086,1.433129793443749,1.7016488492735693,1.6692762134323984,1.55455384750686,1.726814907554761,1.3387035358430794,1.4187579808416435,1.3042394854577462,1.3516677494914673,1.3297682479002952,1.708188456725918,1.708948307371665,1.5683087115700525,1.6926781561701958,1.3192883756766207,1.5810228271863458,1.442795296965203,1.6108722850449058,1.3207389693859188,1.7059538456360506,1.7252513934034175,1.5679082714020733,1.5258505725603306,1.4003163589285026,1.4776730038287054,1.6393465126931868,1.4737641254486107,1.648977479877557,1.4806604087148114,1.525908968515292,1.3318774506964013,1.3101039083077588,1.5968859724342435,1.6162549166197844,1.3053723720877515,1.5521798922518497,1.4968683468518218,1.5521035568958443,1.6388794419560817,1.3389205911061708,1.7201557154016116,1.696117032262398,1.4222801056386203,1.3611881436072792,1.5285130338809014,1.7126537289703625
17,96250000000.0,1.7329186394431055,1.537460822010652,1.6814443613858365,1.3349594486034118,1.427132671524073,1.708990552610402,1.6736556120615058,1.552527118561278,1.737716947219841,1.330773417508555,1.4124096947808533,1.2958074464942588,1.343953161073471,1.3216982122340133,1.7162861836191183,1.717139204239952,1.5668703627445197,1.699090610448647,1.3110630415178361,1.5801607509904492,1.4370468125684366,1.6115045285337743,1.3125345702400797,1.7137844050554865,1.735857340350147,1.5664522937528047,1.522700587622483,1.3935488020350828,1.4729098639775282,1.6416354105085627,1.468883396823153,1.6518925848636514,1.4759884067967315,1.5227611363904474,1.323839815301024,1.3017501603840054,1.5967913423731561,1.617180879609867,1.2969552341780402,1.5500550720486035,1.4927105155447584,1.5499755988574413,1.6411389233391198,1.3309939585954198,1.7298977444801493,1.7028730784500745,1.416015865411531,1.3536414563099166,1.5254617269014332,1.7213177967390096
18,97500000000.0,1.7424756743162384,1.5345520679365745,1.6856475025920556,1.3282169709784566,1.421537163315743,1.7156092348786083,1.6772821556702588,1.550124446688042,1.7480528426843467,1.323998865315213,1.4065710921526036,1.288827314092617,1.3372851558330152,1.314859690423131,1.72368391336661,1.724633342216448,1.5649873506602727,1.7047599527114992,1.3041591096457223,1.5787949743333614,1.4316288526456897,1.6115135828057983,1.3056390809259533,1.7209061649819422,1.745879574433895,1.5645535840817972,1.5193327120102367,1.3874334775542854,1.4682323854161292,1.6432171545450298,1.4641148057981916,1.6540803135797537,1.4713820054820952,1.51939507338596,1.3170157071072164,1.2947972711097842,1.5961259490085116,1.6174653071536844,1.2899801229431576,1.5475666515947315,1.4885121717509564,1.547484439736639,1.6426923476377304,1.3242210555614753,1.7390093373016953,1.7088923581306237,1.4102345703997208,1.3470622887527306,1.5221770921250044,1.7293028778238524
19,98750000000.0,1.7530594047454806,1.5313916857391443,1.6905356207523128,1.3199107957678702,1.414973825359248,1.7230938856172069,1.6815428084140112,1.5475680717850742,1.759448652782491,1.315633624925514,1.399669293643247,1.2800312933906768,1.3291114642017208,1.3063719876393134,1.731996064277258,1.7330475896667112,1.563043866968634,1.7112299453550421,1.2955374882535033,1.5774551151236689,1.425307315772959,1.6117522925533656,1.2970353787375635,1.7289256932202868,1.7569487821918568,1.5625916853102289,1.5156172849838239,1.380132885989294,1.4628839653126342,1.645224462531631,1.4586491397312382,1.656760344872984,1.4661246459189998,1.5156818524245415,1.3085562185592452,1.286066735959392,1.5955945730316674,1.6180162893451868,1.2811965086084518,1.5449084601749783,1.4837714463985356,1.5448229930890203,1.6446681064114415,1.3158588861710396,1.749126960504126,1.7157371968502244,1.4034134320084999,1.339039959098331,1.518562848661424,1.7382360188650081
20,100000000000.0,1.7622980534065071,1.5272458533501743,1.693869820756496,1.3124884968900346,1.4083444915872592,1.7290769509452868,1.684249705713495,1.5439258069724056,1.769554805754138,1.3081982186878807,1.3928441385458759,1.2725565729224886,1.3217236242025519,1.2989144527760212,1.7388392761341858,1.7399974118378432,1.559925769334769,1.7161683912110575,1.2880647796575362,1.5748648834748573,1.4188260009583709,1.6105894099522287,1.2895640869003504,1.7354639286258298,1.7667053763963025,1.5594576588320797,1.5110215114270182,1.3730971768123101,1.457053196400257,1.6457275754366272,1.452735958141501,1.6579127309574968,1.4603585542932593,1.5110878408423882,1.3011031363274077,1.2785900718248553,1.5937275006549387,1.6171428617069261,1.2737211443196697,1.5411803638523236,1.478382588730785,1.5410921587253608,1.6451409662438246,1.3084241244835049,1.7578702396161918,1.721060214238705,1.3966336389999086,1.3316990241062225,1.5140481137223722,1.7457292665515685
21,101250000000.0,1.7695591663110655,1.523436865013089,1.696264695606633,1.3059418206463957,1.4024682232620262,1.733659203893617,1.6861256558509758,1.5405352970697543,1.7775278506137315,1.3016398378961316,1.386804014274113,1.2659575182223233,1.315207229874539,1.2923358184963865,1.7441303691104686,1.7453763092751533,1.5569707562646171,1.7198887988416844,1.2814711647274952,1.5723483414347346,1.4130733799412218,1.6092579538431266,1.2829719896568386,1.7405037783393773,1.7743916475518882,1.5564894129496005,1.5068385163691917,1.3668802976358676,1.4518428530996053,1.645778116081317,1.4474569865340736,1.6585014226822556,1.4552020607822944,1.5069063106001244,1.294528655166082,1.2719909222526786,1.591811481396542,1.6160516227138064,1.2671218535497477,1.5377185325738205,1.473540042919744,1.5376280522364942,1.6451664250339908,1.3018663228528367,1.7647244563248083,1.7250980285311774,1.39063150723497,1.3252232360393223,1.5099324882614662,1.7515555482073069
22,102500000000.0,1.7769989964249673,1.5193194437006134,1.6986864761234006,1.2987222730932348,1.3960756392193083,1.7383459837514579,1.6880076320219093,1.5368673748607655,1.785695756654154,1.2944016828338896,1.38022181317967,1.2586214306318757,1.3080328390263887,1.2850624846288632,1.7495477598987472,1.7508840913740364,1.553768594518429,1.7236850824698813,1.2741654214143079,1.5696133718987557,1.4068220001199023,1.60777863050253,1.2756701719366266,1.7456623908721447,1.7822664503433794,1.553273125738695,1.502317411564512,1.360088829474969,1.446198879143715,1.6457528180392167,1.4417369342630817,1.659039853845849,1.4496176581074653,1.5023867909728974,1.2872629918623701,1.2646644293144043,1.5897139565863885,1.6148257525655216,1.2597874002757834,1.533974146547508,1.4683010681410522,1.5338812260261516,1.6451148214454037,1.2946291103298178,1.771747509055822,1.7292225544486168,1.3840935756967934,1.318105548597778,1.5054842531003336,1.75752352533185
23,103750000000.0,1.7864737895930054,1.5152947557666534,1.7025577387028832,1.2899095430081617,1.3888335373164016,1.7447785341656985,1.6912591443594522,1.533426021026099,1.7959641152129018,1.285537396324696,1.372668856769398,1.2493865539044908,1.299336286192984,1.276091816558107,1.7567945690657374,1.758231274918688,1.5509217454716506,1.7291176798152075,1.2650792952304721,1.5673542462489884,1.3998032990649898,1.6070646829008468,1.2665994373459237,1.7526214024137763,1.7922158491440205,1.5504083794863504,1.4977592373368944,1.3521727040733555,1.4400888126396039,1.6467796625741549,1.4355166571623532,1.6607304247879509,1.4435933143361488,1.4978307318280448,1.2783167689502501,1.2554851718305782,1.5882449147446493,1.6144185810282339,1.2505630373316174,1.5304342734843617,1.4627650449984144,1.5303382043611184,1.6461105543845382,1.2857675005944398,1.7807660945961563,1.7350247396600575,1.376614493716514,1.3095425605822146,1.5010231344302987,1.7653805261498348
24,105000000000.0,1.7953317186546593,1.507808742753987,1.7041616203284151,1.278965747942322,1.3785778451280348,1.7496467176405643,1.6920894859014108,1.5265316438229974,1.8058786579982886,1.274590382222558,1.3622173198263825,1.2384962462273488,1.2884069838502616,1.2651453539095168,1.7627200843037456,1.7642877021001846,1.544648981746096,1.7326995683459523,1.2541462998437423,1.5617123905786374,1.3896999056360957,1.6031473913559373,1.255663768049229,1.758172246274057,1.801705008397783,1.5441166493957015,1.4897501974691258,1.341520861082382,1.430683129836059,1.6448981099913103,1.4260206205800885,1.6596463602077969,1.4342588605475137,1.4898237283398217,1.2673692568928918,1.2445750224823935,1.5834738773644017,1.610853570462421,1.239668582132822,1.5234386390096617,1.4538509629861323,1.5233393424147663,1.6441918865352496,1.2748206008790688,1.789019302226654,1.739080403067391,1.3662076490960668,1.2986406972575897,1.4931078552919006,1.7721037221633313
25,106250000000.0,1.7964934141753792,1.5015217673300296,1.7015658008124022,1.2732911790908952,1.3720865476619797,1.7486949603633895,1.6891191521877373,1.520405512056957,1.8076142455997584,1.268969390065565,1.3558053099672294,1.23337094047832,1.2826217010705157,1.2596448690052953,1.7623189747947943,1.7639552912428547,1.5387127003723196,1.7310889770712135,1.2487944241778952,1.555986624021494,1.383167560121548,1.598067154382404,1.250290864384244,1.7575751394502677,1.8032089460242813,1.5381743003410173,1.483341171519029,1.3352407976307505,1.4240917953602246,1.6406755931844361,1.419428539569042,1.6557809665600411,1.4276694195291784,1.4834151346692583,1.261839803519027,1.2393596212547457,1.5780627902932063,1.6059153683173848,1.2345256953003854,1.5172834864274676,1.4472924884960405,1.5171832743529312,1.6399530068623596,1.269196754064875,1.7898549127627046,1.7377109662116514,1.3597742445545686,1.2927430361394194,1.486719104192543,1.7721228789605585
26,107500000000.0,1.7986984209651653,1.4938367016554195,1.6990099314269411,1.2653468883826762,1.3636180995071552,1.7482468794060255,1.6860757844510263,1.512986548492427,1.8105311519297729,1.2610685363205834,1.347359609282037,1.2258902330021273,1.2745893181869559,1.2518433680485075,1.7625674128201794,1.7642903444851528,1.5315911072952206,1.7298017806199542,1.241118146323095,1.549182085146637,1.3746985170080979,1.5921892940904838,1.2425967057964828,1.7575761274322874,1.8058388886975922,1.5310433990756518,1.475437984199361,1.326860452422245,1.4157274379248186,1.6359734456164432,1.4110436265078692,1.651557322807925,1.4193223591158086,1.475512760191893,1.2540142252892437,1.2318005448620382,1.5717165153611354,1.6002355107774353,1.2270296374459488,1.5098177084701832,1.439064106691157,1.5097160123589821,1.63522880727662,1.2612935737930846,1.791653926744585,1.7367316900390626,1.3513206176787629,1.2846239548232827,1.4788536572419853,1.772900262585161
27,108750000000.0,1.7938416925967142,1.488630812220235,1.693235367292308,1.263658585415304,1.3600947631455238,1.7428036748367672,1.6802486199227997,1.5076125687074762,1.8058548718618863,1.2594702121549943,1.3441081958959327,1.225062087103312,1.2727094148710538,1.2504418076454007,1.7572630074400062,1.759004037237116,1.5260746832295307,1.7242089985647653,1.2399500233695662,1.5435503461700653,1.3709973634156398,1.586357843409853,1.2413961045498394,1.752221010939038,1.8010888791523156,1.525530870051628,1.470413628131087,1.3239702070044201,1.4114222411586184,1.6300650047114973,1.406802975376687,1.6456540377443214,1.4149684070369886,1.4704876272109102,1.2525660262369933,1.2308392643926145,1.565965301369494,1.5943800931252405,1.2261757094664327,1.5044700536483537,1.4344546953897024,1.504369212223547,1.629320559175902,1.2596904966369902,1.7866981411195497,1.7311913759004227,1.348001760988208,1.282540366925585,1.473794136630374,1.767709065546769
