,freq,retardance
158,1069858330000.0,2.6228693150680575
159,1074743530000.0,2.626119798443754
160,1079628720000.0,2.6294069954093446
161,1084513920000.0,2.63272934292742
162,1089399120000.0,2.636085164789584
163,1094284320000.0,2.6394727039481887
164,1099169520000.0,2.6428901216673073
165,1104054710000.0,2.646335496658981
166,1108939910000.0,2.649806859962056
167,1113825110000.0,2.6533021596436726
168,1118710310000.0,2.656819296408447
169,1123595510000.0,2.6603561244709493
170,1128480700000.0,2.6639104526184534
171,1133365900000.0,2.667480082174887
172,1138251100000.0,2.6710627726416436
173,1143136300000.0,2.6746562805543483
174,1148021490000.0,2.678258355112016
175,1152906690000.0,2.6818667784385757
176,1157791890000.0,2.6854793325593924
177,1162677090000.0,2.6890938405703206
178,1167562290000.0,2.692708171406516
