,freq,lp_cp_deg
55,566682951000.0,-0.9996419349723776
56,571568149000.0,-0.9996646499796981
57,576453346000.0,-0.9996887974651402
58,581338544000.0,-0.9997139137669167
59,586223742000.0,-0.9997395473299868
60,591108940000.0,-0.9997652670143252
61,595994138000.0,-0.9997906693432584
62,600879336000.0,-0.9998153846452015
63,605764533000.0,-0.9998390820392232
64,610649731000.0,-0.9998614732748853
65,615534929000.0,-0.9998823153620391
66,620420127000.0,-0.9999014121220016
67,625305325000.0,-0.9999186146353054
68,630190523000.0,-0.9999338206887469
69,635075721000.0,-0.9999469733020958
70,639960918000.0,-0.999958058429687
71,644846116000.0,-0.9999671019601463
72,649731314000.0,-0.9999741660931185
73,654616512000.0,-0.9999793452603227
74,659501710000.0,-0.9999827616731718
75,664386908000.0,-0.9999845606318972
76,669272106000.0,-0.999984905707935
77,674157303000.0,-0.9999839739091657
78,679042501000.0,-0.9999819509288514
79,683927699000.0,-0.9999790265733035
80,688812897000.0,-0.9999753904478355
81,693698095000.0,-0.9999712279732689
82,698583293000.0,-0.9999667167927933
83,703468490000.0,-0.9999620236150122
84,708353688000.0,-0.9999573015240821
85,713238886000.0,-0.9999526877915065
86,718124084000.0,-0.9999483021825588
87,723009282000.0,-0.999944245769688
88,727894480000.0,-0.999940600236565
89,732779678000.0,-0.9999374276536697
90,737664875000.0,-0.999934770696468
91,742550073000.0,-0.9999326532676734
92,747435271000.0,-0.9999310814897253
93,752320469000.0,-0.9999300450100655
94,757205667000.0,-0.9999295185780916
95,762090865000.0,-0.9999294638390531
96,766976063000.0,-0.9999298312915531
97,771861260000.0,-0.9999305623575672
98,776746458000.0,-0.9999315915145095
99,781631656000.0,-0.9999328484371482
100,786516854000.0,-0.9999342601085083
101,791402052000.0,-0.9999357528537502
102,796287250000.0,-0.999937254261758
103,801172447000.0,-0.9999386949604145
104,806057645000.0,-0.9999400102197972
105,810942843000.0,-0.9999411413566738
106,815828041000.0,-0.9999420369294515
107,820713239000.0,-0.9999426537065552
108,825598437000.0,-0.9999429574049082
109,830483635000.0,-0.9999429231959234
110,835368832000.0,-0.9999425359823085
111,840254030000.0,-0.9999417904525504
112,845139228000.0,-0.9999406909262679
113,850024426000.0,-0.9999392510022117
114,854909624000.0,-0.9999374930282287
115,859794822000.0,-0.9999354474125179
116,864680020000.0,-0.9999331517971758
117,869565217000.0,-0.9999306501174482
118,874450415000.0,-0.9999279915671601
119,879335613000.0,-0.9999252295018315
120,884220811000.0,-0.9999224202924587
121,889106009000.0,-0.9999196221610428
122,893991207000.0,-0.9999168940160249
123,898876404000.0,-0.999914294310482
124,903761602000.0,-0.9999118799382617
125,908646800000.0,-0.9999097051939805
126,913531998000.0,-0.9999078208012582
127,918417196000.0,-0.9999062730314138
128,923302394000.0,-0.9999051029199142
129,928187592000.0,-0.9999043455911188
130,933072789000.0,-0.999904029697681
131,937957987000.0,-0.9999041769794882
132,942843185000.0,-0.9999048019460922
133,947728383000.0,-0.9999059116815493
134,952613581000.0,-0.9999075057723369
135,957498779000.0,-0.9999095763549082
136,962383977000.0,-0.9999121082786849
137,967269174000.0,-0.9999150793781615
138,972154372000.0,-0.9999184608511362
139,977039570000.0,-0.9999222177253063
140,981924768000.0,-0.9999263094169116
141,986809966000.0,-0.9999306903621867
142,991695164000.0,-0.999935310715349
143,996580362000.0,-0.9999401171011524
144,1001465560000.0,-0.9999450534110853
145,1006350760000.0,-0.9999500616338124
146,1011235960000.0,-0.9999550826979813
