,freq,L
150,1030776750000.0,0.0005055298207274721
151,1035661940000.0,0.0005948061004490267
152,1040547140000.0,0.0006894410361047591
153,1045432340000.0,0.0007870107776886878
154,1050317540000.0,0.0008850654537187463
155,1055202740000.0,0.0009819033963236411
156,1060087930000.0,0.0010771438198626307
157,1064973130000.0,0.0011718044043042002
158,1069858330000.0,0.0012677791704231221
159,1074743530000.0,0.0013668973764730113
160,1079628720000.0,0.0014699624257226004
161,1084513920000.0,0.0015761675271385145
162,1089399120000.0,0.001683138124712604
163,1094284320000.0,0.001787553011614715
164,1099169520000.0,0.0018861357249913093
165,1104054710000.0,0.0019766172988904263
166,1108939910000.0,0.002058283209052058
167,1113825110000.0,0.002131841367663795
168,1118710310000.0,0.0021986726525716712
169,1123595510000.0,0.002259860324938659
