,x,delta
65,1.0694694694694695,2.0159024571143154
66,1.0843843843843846,2.0440164093896835
67,1.0992992992992994,2.0721303616650517
68,1.1142142142142144,2.10024431394042
69,1.1291291291291292,2.128358266215788
70,1.1440440440440443,2.1564722184911562
71,1.158958958958959,2.1845861707665244
72,1.173873873873874,2.2127001230418926
73,1.188788788788789,2.2408140753172603
74,1.203703703703704,2.268928027592629
75,1.2186186186186188,2.2970419798679966
76,1.2335335335335338,2.3251559321433652
77,1.2484484484484486,2.353269884418733
78,1.2633633633633636,2.381383836694101
79,1.2782782782782784,2.4094977889694693
80,1.2931931931931935,2.4376117412448375
81,1.3081081081081083,2.4657256935202057
82,1.323023023023023,2.4938396457955734
83,1.3379379379379381,2.521953598070942
84,1.352852852852853,2.5500675503463097
85,1.367767767767768,2.578181502621678
86,1.3826826826826828,2.606295454897046
87,1.3975975975975978,2.6344094071724142
88,1.4125125125125126,2.6625233594477824
89,1.4274274274274277,2.6906373117231506
90,1.4423423423423425,2.7187512639985187
91,1.4572572572572575,2.746865216273887
92,1.4721721721721723,2.7749791685492546
93,1.4870870870870874,2.8030931208246233
94,1.5020020020020022,2.831207073099991
95,1.5169169169169172,2.8593210253753596
96,1.531831831831832,2.8874349776507273
97,1.5467467467467468,2.915548929926095
98,1.5616616616616619,2.9436628822014637
99,1.5765765765765767,2.9717768344768314
100,1.5914914914914917,2.9998907867522
101,1.6064064064064065,3.0280047390275677
102,1.6213213213213216,3.0561186913029363
103,1.6362362362362364,3.084232643578304
104,1.6511511511511514,3.1123465958536722
105,1.6660660660660662,3.1404605481290404
106,1.6809809809809813,3.1685745004044086
107,1.695895895895896,3.1966884526797767
108,1.710810810810811,3.224802404955145
109,1.725725725725726,3.2529163572305126
110,1.740640640640641,3.2810303095058813
111,1.7555555555555558,3.309144261781249
112,1.7704704704704706,3.337258214056617
113,1.7853853853853856,3.3653721663319853
114,1.8003003003003004,3.3934861186073535
115,1.8152152152152154,3.4216000708827217
116,1.8301301301301303,3.4497140231580894
117,1.8450450450450453,3.477827975433458
118,1.85995995995996,3.5059419277088257
119,1.8748748748748751,3.5340558799841943
120,1.88978978978979,3.562169832259562
121,1.904704704704705,3.5902837845349307
122,1.9196196196196198,3.6183977368102984
123,1.9345345345345348,3.6465116890856666
124,1.9494494494494496,3.6746256413610348
125,1.9643643643643647,3.702739593636403
126,1.9792792792792795,3.730853545911771
127,1.9941941941941945,3.7589674981871393
128,2.0091091091091093,3.787081450462507
129,2.024024024024024,3.8151954027378747
130,2.038938938938939,3.843309355013243
131,2.053853853853854,3.8714233072886115
132,2.068768768768769,3.8995372595639797
133,2.0836836836836836,3.9276512118393474
134,2.0985985985985987,3.9557651641147156
135,2.1135135135135137,3.9838791163900837
136,2.1284284284284287,4.011993068665452
137,2.1433433433433438,4.0401070209408205
138,2.1582582582582583,4.068220973216188
139,2.1731731731731734,4.096334925491557
140,2.1880880880880884,4.124448877766925
141,2.2030030030030034,4.152562830042293
142,2.217917917917918,4.1806767823176605
143,2.232832832832833,4.208790734593029
144,2.247747747747748,4.236904686868398
145,2.2626626626626627,4.265018639143765
146,2.2775775775775777,4.293132591419133
147,2.2924924924924928,4.321246543694501
148,2.307407407407408,4.3493604959698695
149,2.3223223223223224,4.377474448245238
150,2.3372372372372374,4.405588400520606
151,2.3521521521521525,4.433702352795974
152,2.3670670670670675,4.461816305071342
153,2.381981981981982,4.4899302573467095
154,2.396896896896897,4.5180442096220785
155,2.411811811811812,4.546158161897447
156,2.426726726726727,4.574272114172815
157,2.4416416416416418,4.602386066448182
158,2.456556556556557,4.630500018723551
159,2.471471471471472,4.658613970998919
160,2.486386386386387,4.6867279232742876
161,2.5013013013013015,4.714841875549655
162,2.5162162162162165,4.742955827825023
163,2.5311311311311315,4.771069780100392
