,freq,avg_bf,avg_bf_std
451,87914285714.0,0.11872324804213998,0.002398553129028205
452,87942857143.0,0.11872199965298982,0.0023976602526780905
453,87971428571.0,0.11872072595917782,0.002396887874810497
454,88000000000.0,0.11871942655881969,0.0023962348004088717
455,88028571429.0,0.11871810101163614,0.0023956997370880575
456,88057142857.0,0.1187167488117823,0.0023952813632519086
457,88085714286.0,0.11871536942160191,0.0023949782362048836
458,88114285714.0,0.11871396217451144,0.0023947888046331137
459,88142857143.0,0.11871252639913875,0.002394711459746559
460,88171428571.0,0.11871106134362606,0.002394744466471632
461,88200000000.0,0.118709566140768,0.0023948859794601838
462,88228571429.0,0.11870803988839605,0.002395134084951843
463,88257142857.0,0.11870648165593413,0.00239548675806252
464,88285714286.0,0.1187048903562954,0.002395941860026146
465,88314285714.0,0.11870326489056869,0.002396497134302539
466,88342857143.0,0.11870160405802996,0.0023971502450861742
467,88371428571.0,0.11869990659761388,0.0023978987071462884
468,88400000000.0,0.11869817119169168,0.002398739933512715
469,88428571429.0,0.11869639643525463,0.0023996712665384557
470,88457142857.0,0.11869458084674919,0.0024006898541802575
471,88485714286.0,0.11869272289062573,0.002401792825530197
472,88514285714.0,0.11869082094093623,0.0024029771070353777
473,88542857143.0,0.11868887331227097,0.002404239564783364
474,88571428571.0,0.11868687829723669,0.002405576941419962
475,88600000000.0,0.11868483406288664,0.0024069858565490343
476,88628571429.0,0.11868273872715274,0.00240846284499456
477,88657142857.0,0.11868059037571214,0.002410004323832061
478,88685714286.0,0.11867838701565507,0.0024116065811737334
479,88714285714.0,0.11867612661350233,0.002413265877718325
480,88742857143.0,0.11867380708030957,0.002414978277601387
481,88771428571.0,0.11867142623152804,0.002416739849438204
482,88800000000.0,0.11866898195160894,0.002418546549051712
483,88828571429.0,0.11866647198217486,0.002420394221113463
484,88857142857.0,0.11866389405709879,0.002422278652453649
485,88885714286.0,0.11866124589608483,0.0024241956191813803
486,88914285714.0,0.11865852519108978,0.0024261407843517344
487,88942857143.0,0.11865572961753708,0.002428109782121458
488,88971428571.0,0.11865285678531594,0.002430098206661173
489,89000000000.0,0.11864990436118858,0.0024321016403420466
490,89028571429.0,0.11864686994766702,0.0024341156553063788
