,freq,n_s,n_p
625,90625000000.0,1.252635251278004,1.3314620927076801
626,90650000000.0,1.2526425905741057,1.331466746971795
627,90675000000.0,1.252649983049228,1.3314714856723224
628,90700000000.0,1.2526574207161423,1.331476295686578
629,90725000000.0,1.252664895961224,1.331481164512407
630,90750000000.0,1.2526724015800155,1.3314860803264468
631,90775000000.0,1.2526799308051735,1.331491032029804
632,90800000000.0,1.2526874773334034,1.3314960092920556
633,90825000000.0,1.252695035356919,1.3315010026027034
634,90850000000.0,1.2527025995839915,1.3315060033045965
635,90875000000.0,1.252710165263477,1.3315110036339173
636,90900000000.0,1.2527177282086972,1.3315159967590995
637,90925000000.0,1.2527252848132429,1.3315209768063887
638,90950000000.0,1.2527328320707605,1.3315259388919751
639,90975000000.0,1.2527403675908044,1.3315308791476355
640,91000000000.0,1.2527478896075201,1.3315357947345403
641,91025000000.0,1.2527553969959009,1.3315406838695303
642,91050000000.0,1.2527628892787543,1.3315455458360947
643,91075000000.0,1.2527703666293288,1.3315503809881903
644,91100000000.0,1.2527778298773908,1.331555190759721
645,91125000000.0,1.2527852805114306,1.3315599776676825
646,91150000000.0,1.2527927206764125,1.3315647453079122
647,91175000000.0,1.2528001531674424,1.3315694983441704
648,91200000000.0,1.2528075814270279,1.331574242503122
649,91225000000.0,1.2528150095343384,1.3315789845561443
650,91250000000.0,1.2528224421933487,1.331583732299317
651,91275000000.0,1.2528298847201773,1.3315884945321006
652,91300000000.0,1.2528373430250108,1.3315932810271167
653,91325000000.0,1.252844823595302,1.3315981025020283
654,91350000000.0,1.2528523334726522,1.3316029705810815
655,91375000000.0,1.252859880232134,1.3316078977606345
656,91400000000.0,1.2528674719529658,1.3316128973605261
657,91425000000.0,1.2528751171930894,1.3316179834818798
658,91450000000.0,1.2528828249572042,1.3316231709541537
659,91475000000.0,1.2528906046683403,1.3316284752880887
660,91500000000.0,1.2528984661288753,1.3316339126112737
661,91525000000.0,1.252906419487652,1.3316394996138272
662,91550000000.0,1.2529144752052315,1.3316452534910344
663,91575000000.0,1.2529226440089036,1.3316511918691625
664,91600000000.0,1.2529309368545074,1.3316573327425523
665,91625000000.0,1.2529393648868088,1.3316636944083662
666,91650000000.0,1.252947939394076,1.3316702953918242
667,91675000000.0,1.2529566717651472,1.3316771543756052
668,91700000000.0,1.2529655734439942,1.3316842901251733
669,91725000000.0,1.2529746558830808,1.3316917214121629
670,91750000000.0,1.2529839304978239,1.3316994669396238
671,91775000000.0,1.2529934086202865,1.331707545266054
672,91800000000.0,1.2530031014518184,1.3317159747277472
673,91825000000.0,1.253013020015159,1.331724773360298
674,91850000000.0,1.253023175107754,1.3317339588221426
675,91875000000.0,1.253033577254698,1.3317435483175297
676,91900000000.0,1.253044236662018,1.3317535585200933
677,91925000000.0,1.2530551631716846,1.3317640054992872
678,91950000000.0,1.253066366214131,1.33177490464279
679,91975000000.0,1.2530778547662549,1.3317862705878938
680,92000000000.0,1.2530896373051217,1.3317981171459294
681,92025000000.0,1.2531017217693592,1.331810457239302
682,92050000000.0,1.2531141155123893,1.3318233028251398
683,92075000000.0,1.253126825269741,1.3318366648421398
684,92100000000.0,1.2531398571161159,1.3318505531405331
685,92125000000.0,1.253153216432519,1.3318649764286503
686,92150000000.0,1.2531669078680099,1.331879942210601
687,92175000000.0,1.253180935311244,1.331895456740106
688,92200000000.0,1.2531953018584139,1.3319115249683604
689,92225000000.0,1.253210009785233,1.3319281504985618
690,92250000000.0,1.253225060522194,1.3319453355457957
691,92275000000.0,1.2532404546313758,1.3319630808994762
692,92300000000.0,1.2532561917849185,1.3319813858884861
693,92325000000.0,1.25327227074658,1.332000248351391
694,92350000000.0,1.2532886893593047,1.3320196646164877
695,92375000000.0,1.2533054445290337,1.3320396294756636
696,92400000000.0,1.253322532216285,1.332060136171014
697,92425000000.0,1.2533399474299134,1.3320811763849814
698,92450000000.0,1.2533576842220122,1.332102740232377
699,92475000000.0,1.2533757356860546,1.3321248162576729
700,92500000000.0,1.2533940939615884,1.3321473914430435
701,92525000000.0,1.2534127502355588,1.332170451210835
702,92550000000.0,1.2534316947494293,1.332193979435523
703,92575000000.0,1.2534509168129564,1.3322179584665887
704,92600000000.0,1.2534704048151655,1.3322423691467575
705,92625000000.0,1.2534901462409611,1.3322671908394512
706,92650000000.0,1.2535101276889928,1.3322924014583115
707,92675000000.0,1.2535303348951474,1.3323179775059106
708,92700000000.0,1.253550752755999,1.332343894112377
709,92725000000.0,1.2535713653558962,1.3323701250799929
710,92750000000.0,1.25359215599619,1.3323966429312484
711,92775000000.0,1.2536131072306655,1.3324234189671145
712,92800000000.0,1.2536342008929275,1.3324504233120533
713,92825000000.0,1.253655418140983,1.3324776249872823
714,92850000000.0,1.2536767394912205,1.332504991966596
715,92875000000.0,1.253698144863049,1.3325324912497059
716,92900000000.0,1.253719613618872,1.3325600889279066
717,92925000000.0,1.2537411246114323,1.3325877502618428
718,92950000000.0,1.253762656231154,1.3326154397592707
719,92975000000.0,1.2537841864519383,1.332643121250303
720,93000000000.0,1.2538056928849868,1.3326707579758115
721,93025000000.0,1.2538271528257938,1.3326983126646421
722,93050000000.0,1.2538485433126394,1.3327257476297136
723,93075000000.0,1.2538698411742633,1.3327530248463633
724,93100000000.0,1.2538910230889255,1.3327801060493931
725,93125000000.0,1.2539120656387424,1.3328069528223832
726,93150000000.0,1.2539329453668167,1.3328335266915894
727,93175000000.0,1.253953638831217,1.3328597892146978
728,93200000000.0,1.253974122667223,1.332885702083136
729,93225000000.0,1.2539943736402595,1.332911227209124
730,93250000000.0,1.2540143687056493,1.3329363268239356
731,93275000000.0,1.2540340850664464,1.3329609635729909
732,93300000000.0,1.2540535002306463,1.3329851006099558
733,93325000000.0,1.2540725920660403,1.3330087016869667
734,93350000000.0,1.254091338860797,1.333031731254256
735,93375000000.0,1.2541097193753703,1.3330541545455374
736,93400000000.0,1.2541277129010007,1.333075937674208
737,93425000000.0,1.254145299308992,1.3330970477144124
738,93450000000.0,1.2541624591095266,1.333117452797727
739,93475000000.0,1.2541791734997965,1.3331371221923018
740,93500000000.0,1.2541954244153442,1.3331560263872724
741,93525000000.0,1.2542111945789276,1.3331741371730355
742,93550000000.0,1.2542264675458532,1.3331914277157406
743,93575000000.0,1.254241227754762,1.333207872640686
744,93600000000.0,1.2542554605638507,1.3332234480917615
745,93625000000.0,1.2542691522997464,1.3332381318116255
746,93650000000.0,1.2542822902901514,1.3332519031952135
747,93675000000.0,1.2542948629050152,1.3332647433571703
748,93700000000.0,1.2543068595914446,1.333276635188967
749,93725000000.0,1.254318270903668,1.3332875634078405
750,93750000000.0,1.2543290885320642,1.3332975146041532
751,93775000000.0,1.254339305335117,1.3333064772934635
752,93800000000.0,1.2543489153570309,1.333314441945051
753,93825000000.0,1.254357913853,1.3333214010228835
754,93850000000.0,1.2543662973076737,1.3333273490153954
