,freq,n_s,n_p
220,80500000000.0,1.2008975928500498,1.2882771898027312
221,80525000000.0,1.2008563317981182,1.2881884111134814
222,80550000000.0,1.2008147609928361,1.288099077744504
223,80575000000.0,1.2007729410406882,1.2880093108074082
224,80600000000.0,1.200730933907026,1.2879192338839796
225,80625000000.0,1.2006888027532012,1.2878289726963505
226,80650000000.0,1.2006466117785806,1.287738654788365
227,80675000000.0,1.2006044260527386,1.2876484091886564
228,80700000000.0,1.2005623113479955,1.287558366075991
229,80725000000.0,1.2005203339728436,1.287468656447694
230,80750000000.0,1.2004785605984105,1.287379411775863
231,80775000000.0,1.200437058086668,1.2872907636684827
232,80800000000.0,1.2003958933208854,1.2872028435364278
233,80825000000.0,1.200355133030061,1.2871157822500734
234,80850000000.0,1.2003148436205295,1.2870297098114751
235,80875000000.0,1.2002750910046862,1.2869447550223387
236,80900000000.0,1.2002359404347454,1.286861045163163
237,80925000000.0,1.200197456333724,1.286778705668317
238,80950000000.0,1.2001597021355914,1.2866978598204182
239,80975000000.0,1.2001227401248418,1.2866186284446648
240,81000000000.0,1.2000866312809961,1.2865411296140632
241,81025000000.0,1.200051435125943,1.2864654783611125
242,81050000000.0,1.2000172095808281,1.2863917864093317
243,81075000000.0,1.1999840108203077,1.2863201619002589
244,81100000000.0,1.199951893143034,1.2862507091531181
245,81125000000.0,1.1999209088344263,1.2861835284099217
246,81150000000.0,1.1998911080518273,1.286118715624999
247,81175000000.0,1.199862538702258,1.286056362240283
248,81200000000.0,1.1998352463358948,1.2859965549918275
249,81225000000.0,1.199809274043779,1.2859393757246764
250,81250000000.0,1.1997846623637738,1.2858849012238638
251,81275000000.0,1.199761449192782,1.2858332030577435
252,81300000000.0,1.1997396697105105,1.2857843474436004
253,81325000000.0,1.1997193563084179,1.2857383951232508
254,81350000000.0,1.1997005385255046,1.2856954012515045
255,81375000000.0,1.1996832429983504,1.2856554153121238
256,81400000000.0,1.1996674934129228,1.2856184810366629
257,81425000000.0,1.1996533104713083,1.2855846363518215
258,81450000000.0,1.199640711858758,1.285553913326743
259,81475000000.0,1.1996297122275914,1.285526338152401
260,81500000000.0,1.1996203231846205,1.2855019311271652
261,81525000000.0,1.1996125532893769,1.285480706662541
262,81550000000.0,1.1996064080564133,1.285462673295884
263,81575000000.0,1.1996018899695682,1.285447833725631
264,81600000000.0,1.1995989985041868,1.285436184861146
265,81625000000.0,1.1995977301567815,1.2854277178860345
266,81650000000.0,1.1995980784749412,1.2854224183209615
267,81675000000.0,1.1996000341088107,1.2854202661277434
268,81700000000.0,1.1996035848571207,1.2854212358017818
269,81725000000.0,1.1996087157240458,1.285425296484612
270,81750000000.0,1.1996154089854054,1.2854324120940102
271,81775000000.0,1.1996236442568187,1.2854425414568493
272,81800000000.0,1.1996333985677181,1.2854556384526543
273,81825000000.0,1.1996446464475334,1.2854716521802185
274,81850000000.0,1.199657360007012,1.285490527113828
275,81875000000.0,1.1996715090332357,1.285512203285758
276,81900000000.0,1.1996870610832306,1.285536616465265
277,81925000000.0,1.1997039815860695,1.2855636983537393
278,81950000000.0,1.1997222339439184,1.2855933767771934
279,81975000000.0,1.199741779644159,1.285625575900144
280,82000000000.0,1.1997625783653787,1.285660216427022
281,82025000000.0,1.1997845880947622,1.285697215825672
282,82050000000.0,1.1998077652407673,1.2857364885413953
283,82075000000.0,1.199832064754211,1.2857779462273389
284,82100000000.0,1.199857440246148,1.2858214979684974
285,82125000000.0,1.199883844110084,1.28586705051422
286,82150000000.0,1.1999112276428117,1.285914508508043
287,82175000000.0,1.1999395411712013,1.2859637747293513
288,82200000000.0,1.1999687341718166,1.2860147503210761
289,82225000000.0,1.1999987553961526,1.2860673350287155
290,82250000000.0,1.200029552995519,1.2861214274388613
291,82275000000.0,1.2000610746412492,1.2861769252089188
292,82300000000.0,1.2000932676500238,1.286233725307196
293,82325000000.0,1.2001260791018808,1.2862917242390106
294,82350000000.0,1.2001594559637938,1.2863508182842278
295,82375000000.0,1.2001933452032931,1.2864109037155642
296,82400000000.0,1.2002276939099523,1.2864718770329375
297,82425000000.0,1.2002624494055427,1.2865336351759569
298,82450000000.0,1.2002975593566967,1.2865960757418522
299,82475000000.0,1.2003329718875728,1.2866590972039584
300,82500000000.0,1.2003686356822911,1.2867225991105071
301,82525000000.0,1.2004045000899446,1.2867864822890498
302,82550000000.0,1.2004405152261852,1.2868506490446074
303,82575000000.0,1.2004766320682694,1.286915003345453
304,82600000000.0,1.2005128025510556,1.286979451011218
305,82625000000.0,1.2005489796561217,1.2870438998879161
306,82650000000.0,1.2005851174956383,1.287108260013054
307,82675000000.0,1.2006211713973098,1.287172443783296
308,82700000000.0,1.200657097981269,1.2872363661066057
309,82725000000.0,1.2006928552348637,1.2872999445505975
310,82750000000.0,1.200728402580449,1.2873630994774388
311,82775000000.0,1.2007637009405607,1.2874257541738983
312,82800000000.0,1.200798712802571,1.287487834980546
313,82825000000.0,1.200833402269109,1.2875492713932117
314,82850000000.0,1.2008677351136539,1.2876099961747642
315,82875000000.0,1.200901678824711,1.2876699454445295
316,82900000000.0,1.2009352026502382,1.2877290587683419
317,82925000000.0,1.2009682776327237,1.2877872792302258
318,82950000000.0,1.201000876644503,1.2878445535046048
319,82975000000.0,1.2010329744130275,1.2879008319086793
320,83000000000.0,1.201064547544393,1.2879560684514169
321,83025000000.0,1.2010955745423815,1.288010220873553
322,83050000000.0,1.2011260358213987,1.288063250675593
323,83075000000.0,1.2011559137143883,1.2881151231357053
324,83100000000.0,1.2011851924797758,1.2881658073256477
325,83125000000.0,1.2012138582945966,1.288215276099263
326,83150000000.0,1.2012418992574645,1.2882635061002443
327,83175000000.0,1.2012693053698682,1.2883104777269616
328,83200000000.0,1.2012960685289142,1.2883561751196924
