,freqs,a,b,delta,delta1wp
70,76.75,1.0033268806759263,0.9231509085858013,1.6176543803941925,1.3029344540218117
71,76.775,1.0033241133294266,0.9230906476602071,1.6175895819247805,1.303358862638757
72,76.8,1.0033213071078209,0.9230295515103797,1.6175238681271027,1.3037832712557025
73,76.825,1.0033184619806723,0.9229676206556874,1.6174572386782227,1.3042076798726476
74,76.85,1.0033155779796021,0.9229048555782772,1.617389693631484,1.3046320884895928
75,76.875,1.0033126550298654,0.9228412573357987,1.6173212328510658,1.305056497106538
76,76.9,1.0033096931847998,0.9227768259866551,1.6172518562362141,1.3054809057234833
77,76.925,1.0033066924736835,0.9227115623105255,1.6171815636039069,1.3059053143404284
78,76.95,1.00330365288752,0.9226454668144765,1.6171103548287613,1.3063297229573736
79,76.975,1.0033005744078773,0.9225785404303962,1.6170382298882684,1.3067541315743187
80,77.0,1.0032974570752018,0.9225107832465937,1.6169651885308172,1.307178540191264
81,77.025,1.0032943008204251,0.9224421964385188,1.6168912307788494,1.3076029488082093
82,77.05,1.0032911057152747,0.9223727803134919,1.6168163563766065,1.3080273574251544
83,77.075,1.0032878717591969,0.9223025355100011,1.6167405652608393,1.3084517660420998
84,77.1,1.0032845988998962,0.9222314629493964,1.616663857266597,1.308876174659045
85,77.125,1.0032812872353378,0.9221595628771344,1.6165862323037585,1.3093005832759903
86,77.15,1.0032779366428581,0.9220868365240168,1.6165076902833666,1.3097249918929355
87,77.175,1.0032745472340503,0.9220132838766448,1.6164282308977698,1.3101494005098806
88,77.2,1.0032711190122667,0.921938905929728,1.6163478541560363,1.3105738091268258
89,77.225,1.0032676518950001,0.9218637035400425,1.616266559935064,1.310998217743771
90,77.25,1.0032641459541063,0.9217876772976366,1.6161843480414428,1.3114226263607163
91,77.275,1.0032606011588243,0.9217108278753434,1.61610121840817,1.3118470349776614
92,77.3,1.0032570175433333,0.921633155944761,1.6160171708201705,1.3122714435946066
93,77.325,1.0032533951031015,0.9215546623088768,1.6159322051122373,1.3126958522115517
94,77.35,1.0032497338014077,0.9214753475726667,1.6158463212229541,1.313120260828497
95,77.375,1.003246033722394,0.9213952125421716,1.6157595190151763,1.3135446694454425
96,77.4,1.0032422948026036,0.921314258081912,1.6156717982983322,1.3139690780623876
