,freq,delta_0,delta_min_curve,delta_max_curve
31,75775000000.0,1.553727268724675,1.553727268724675,1.553727268724675
32,75800000000.0,1.553862430098262,1.553862430098262,1.553862430098262
33,75825000000.0,1.5540060978097057,1.5540060978097057,1.5540060978097057
34,75850000000.0,1.5541578107426444,1.5541578107426444,1.5541578107426444
35,75875000000.0,1.5543171046361643,1.5543171046361643,1.5543171046361643
36,75900000000.0,1.5544835129272878,1.5544835129272878,1.5544835129272878
37,75925000000.0,1.5546565675916961,1.5546565675916961,1.5546565675916961
38,75950000000.0,1.5548357999923883,1.5548357999923883,1.5548357999923883
39,75975000000.0,1.555020741714139,1.555020741714139,1.555020741714139
40,76000000000.0,1.5552109254184368,1.5552109254184368,1.5552109254184368
41,76025000000.0,1.5554058856708068,1.5554058856708068,1.5554058856708068
42,76050000000.0,1.5556051597783112,1.5556051597783112,1.5556051597783112
43,76075000000.0,1.5558082886022238,1.5558082886022238,1.5558082886022238
44,76100000000.0,1.556014817375665,1.556014817375665,1.556014817375665
45,76125000000.0,1.5562242964960944,1.5562242964960944,1.5562242964960944
46,76150000000.0,1.5564362822998166,1.5564362822998166,1.5564362822998166
47,76175000000.0,1.5566503378219834,1.5566503378219834,1.5566503378219834
48,76200000000.0,1.556866033528473,1.556866033528473,1.556866033528473
49,76225000000.0,1.5570829480244617,1.5570829480244617,1.5570829480244617
50,76250000000.0,1.557300668740354,1.557300668740354,1.557300668740354
51,76275000000.0,1.5575187925709022,1.5575187925709022,1.5575187925709022
52,76300000000.0,1.557736926507752,1.557736926507752,1.557736926507752
53,76325000000.0,1.5579546882081412,1.5579546882081412,1.5579546882081412
54,76350000000.0,1.5581717065504748,1.5581717065504748,1.5581717065504748
55,76375000000.0,1.5583876221325372,1.5583876221325372,1.5583876221325372
56,76400000000.0,1.5586020877538653,1.5586020877538653,1.5586020877538653
57,76425000000.0,1.5588147688296483,1.5588147688296483,1.5588147688296483
58,76450000000.0,1.5590253437782227,1.5590253437782227,1.5590253437782227
59,76475000000.0,1.5592335043757741,1.5592335043757741,1.5592335043757741
60,76500000000.0,1.559438956040383,1.559438956040383,1.559438956040383
61,76525000000.0,1.5596414181056997,1.5596414181056997,1.5596414181056997
62,76550000000.0,1.5598406240266594,1.5598406240266594,1.5598406240266594
63,76575000000.0,1.5600363215568978,1.5600363215568978,1.5600363215568978
64,76600000000.0,1.5602282728861192,1.5602282728861192,1.5602282728861192
65,76625000000.0,1.5604162547236071,1.5604162547236071,1.5604162547236071
66,76650000000.0,1.5606000583663138,1.5606000583663138,1.5606000583663138
67,76675000000.0,1.56077948970323,1.56077948970323,1.56077948970323
68,76700000000.0,1.5609543692047911,1.5609543692047911,1.5609543692047911
69,76725000000.0,1.5611245318670959,1.5611245318670959,1.5611245318670959
70,76750000000.0,1.561289827132881,1.561289827132881,1.561289827132881
71,76775000000.0,1.5614501187677536,1.5614501187677536,1.5614501187677536
72,76800000000.0,1.5616052847282331,1.5616052847282331,1.5616052847282331
73,76825000000.0,1.5617552169870481,1.5617552169870481,1.5617552169870481
74,76850000000.0,1.561899821343918,1.561899821343918,1.561899821343918
75,76875000000.0,1.562315015151985,1.562315015151985,1.562315015151985
76,76900000000.0,1.5627667321077716,1.5627667321077716,1.5627667321077716
77,76925000000.0,1.5632146117904397,1.5632146117904397,1.5632146117904397
78,76950000000.0,1.5636583619856865,1.5636583619856865,1.5636583619856865
79,76975000000.0,1.5640977038579815,1.5640977038579815,1.5640977038579815
80,77000000000.0,1.5645323715689594,1.5645323715689594,1.5645323715689594
81,77025000000.0,1.5649621118633177,1.5649621118633177,1.5649621118633177
82,77050000000.0,1.5653866835643173,1.5653866835643173,1.5653866835643173
83,77075000000.0,1.565805857107491,1.565805857107491,1.565805857107491
84,77100000000.0,1.5662194139999264,1.5662194139999264,1.5662194139999264
85,77125000000.0,1.5666271463018555,1.5666271463018555,1.5666271463018555
86,77150000000.0,1.5670288561059242,1.5670288561059242,1.5670288561059242
87,77175000000.0,1.5674243550339848,1.5674243550339848,1.5674243550339848
88,77200000000.0,1.567813463739774,1.567813463739774,1.567813463739774
89,77225000000.0,1.5681960114531284,1.5681960114531284,1.5681960114531284
