,freq,delta_0,delta_min_curve,delta_max_curve
78,76950000000.0,1.5486076072613142,1.5486076072613142,1.5486076072613142
79,76975000000.0,1.5491695120009483,1.5491695120009483,1.5491695120009483
80,77000000000.0,1.5497280557144288,1.5497280557144288,1.5497280557144288
81,77025000000.0,1.5502827790633218,1.5502827790633218,1.5502827790633218
82,77050000000.0,1.550833232780756,1.550833232780756,1.550833232780756
83,77075000000.0,1.5513789780517262,1.5513789780517262,1.5513789780517262
84,77100000000.0,1.5519195867688598,1.5519195867688598,1.5519195867688598
85,77125000000.0,1.5524546418249279,1.5524546418249279,1.5524546418249279
86,77150000000.0,1.5529837373678281,1.5529837373678281,1.5529837373678281
87,77175000000.0,1.5535064790609028,1.5535064790609028,1.5535064790609028
88,77200000000.0,1.5540224843179367,1.5540224843179367,1.5540224843179367
