,freqs,n_s,n_p,bf
41,76025000000.0,1.2142829028634432,1.3019190501206426,0.08763614725719937
42,76050000000.0,1.214349603517024,1.3020409937700141,0.08769139025299011
43,76075000000.0,1.21441815903346,1.3021665181186368,0.08774835908517686
44,76100000000.0,1.214488368426849,1.3022952376306838,0.08780686920383474
45,76125000000.0,1.2145600327815793,1.302426770575847,0.08786673779426768
46,76150000000.0,1.2146329555344078,1.302560739558067,0.0879277840236592
47,76175000000.0,1.2147069427507982,1.3026967720362705,0.08798982928547239
48,76200000000.0,1.214781803390168,1.3028345008267572,0.08805269743658917
49,76225000000.0,1.2148573495632016,1.3029735645931997,0.08811621502999811
50,76250000000.0,1.214933396782429,1.303113608326481,0.08818021154405198
51,76275000000.0,1.2150097641958202,1.3032542837944692,0.08824451959864898
52,76300000000.0,1.2150862748227858,1.3033952499989858,0.08830897517620007
53,76325000000.0,1.2151627557669362,1.3035361735903517,0.08837341782341546
54,76350000000.0,1.2152390384297007,1.3036767292858427,0.08843769085614195
55,76375000000.0,1.2153149587050156,1.3038166002536855,0.08850164154866991
56,76400000000.0,1.2153903571748168,1.3039554785005216,0.08856512132570482
57,76425000000.0,1.2154650792813628,1.3040930652158695,0.08862798593450671
58,76450000000.0,1.2155389754962083,1.3042290711116529,0.08869009561544461
59,76475000000.0,1.2156119014831688,1.304363216751472,0.08875131526830327
60,76500000000.0,1.2156837182375995,1.304495232835302,0.08881151459770265
61,76525000000.0,1.2157542922301987,1.304624860493879,0.08887056826368034
62,76550000000.0,1.21582349552823,1.3047518515402494,0.08892835601201932
63,76575000000.0,1.2158912059124798,1.3048759687136606,0.08898476280118084
64,76600000000.0,1.2159573069840959,1.3049969859042994,0.08903967892020348
65,76625000000.0,1.2160216882543213,1.3051146883452003,0.08909300009087895
66,76650000000.0,1.2160842452346772,1.3052288728050516,0.08914462757037445
67,76675000000.0,1.2161448795041263,1.3053393477364046,0.08919446823227828
68,76700000000.0,1.2162034987755364,1.305445933422226,0.08924243464668957
69,76725000000.0,1.21626001694631,1.3055484620914128,0.08928844514510281
70,76750000000.0,1.2163143541427492,1.3056467780216106,0.08933242387886131
71,76775000000.0,1.2163664367469822,1.305740737607606,0.08937430086062381
72,76800000000.0,1.2164161974229293,1.3058302094270196,0.08941401200409027
